# Hand-labelled ground truth for fencing_clip7b.mp4 (War of the Roses final, 3:05 to 6:05 of the SAME source video as 7a).
# Labelled by the author, a competitive epee fencer, from the video file
# itself rather than from the system's proposals, so the labels are
# independent of what the detector can find.
# time_s   = awarded touch, to the nearest second
# scorer   = left | right | double  (double = both fencers score, legal in epee)
# annulled = 1 if a hit was registered but no point was awarded
# notes    = labeller's observations
#
# 7a and 7b are two windows of ONE recording and must never be held out
# separately in a leave-one-out protocol. See code/prototype/clips.py.
time_s,scorer,annulled,notes
4,left,0,
16,left,0,
28,right,0,
41,right,0,
65,right,0,
67,left,0,
87,left,0,
99,double,0,
112,left,0,
127,right,0,
143,left,0,
155,right,0,
169,left,0,
