frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m
0,0.0,4.744,4.744,bbox,0.0,0.0,0.0,0.0
1,0.034,4.742,4.743,bbox,0.058,0.0,0.0,0.0
2,0.069,4.729,4.742,bbox,0.111,0.0,0.0,0.0
3,0.103,4.717,4.736,bbox,0.111,0.045,0.0,0.0
4,0.137,4.708,4.729,bbox,0.156,0.045,0.0,0.0
5,0.172,4.717,4.717,bbox,0.156,0.045,0.036,0.0
6,0.206,4.782,4.717,bbox,0.156,0.045,0.036,0.0
7,0.24,4.763,4.717,bbox,0.156,0.045,0.036,0.0
8,0.275,4.777,4.763,bbox,0.156,0.045,0.036,0.0
9,0.309,4.781,4.777,bbox,0.156,0.045,0.036,0.0
10,0.343,4.651,4.777,bbox,0.156,0.045,0.036,0.0
11,0.377,4.601,4.763,bbox,0.156,0.045,0.036,0.0
12,0.412,3.969,4.651,pose,0.156,0.045,0.13,0.0
13,0.446,4.585,4.601,bbox,0.156,0.045,0.174,0.0
14,0.48,4.6,4.6,bbox,0.156,0.045,0.174,0.0
15,0.515,4.333,4.585,pose,0.156,0.045,0.174,0.0
16,0.549,4.633,4.585,bbox,0.156,0.082,0.174,0.0
17,0.583,4.685,4.6,bbox,0.156,0.082,0.21,0.0
18,0.618,4.062,4.6,pose,0.156,0.082,0.21,0.0
19,0.652,4.655,4.633,bbox,0.156,0.114,0.258,0.0
20,0.686,4.614,4.633,bbox,0.156,0.114,0.333,0.0
21,0.721,4.117,4.614,pose,0.156,0.114,0.333,0.0
22,0.755,4.662,4.614,bbox,0.156,0.114,0.333,0.0
23,0.789,4.59,4.614,bbox,0.156,0.114,0.368,0.0
24,0.824,4.056,4.59,pose,0.156,0.114,0.368,0.0
25,0.858,4.572,4.572,bbox,0.156,0.114,0.4,0.0
26,0.892,4.554,4.572,bbox,0.156,0.114,0.4,0.0
27,0.927,4.563,4.563,bbox,0.156,0.114,0.4,0.0
28,0.961,4.567,4.563,bbox,0.156,0.114,0.4,0.0
29,0.995,4.588,4.567,bbox,0.156,0.114,0.4,0.0
30,1.03,3.991,4.563,pose,0.156,0.114,0.4,0.0
31,1.064,4.556,4.563,bbox,0.156,0.114,0.4,0.036
32,1.098,4.622,4.567,bbox,0.156,0.114,0.4,0.036
33,1.132,3.978,4.556,pose,0.156,0.114,0.4,0.089
34,1.167,4.616,4.556,bbox,0.156,0.114,0.4,0.089
35,1.201,4.599,4.599,bbox,0.156,0.114,0.4,0.089
36,1.235,3.965,4.599,pose,0.156,0.114,0.4,0.089
37,1.27,4.579,4.579,bbox,0.156,0.114,0.4,0.089
38,1.304,4.556,4.579,bbox,0.156,0.114,0.4,0.089
39,1.338,3.953,4.556,pose,0.156,0.114,0.4,0.089
40,1.373,4.503,4.503,bbox,0.156,0.114,0.4,0.089
41,1.407,4.474,4.503,bbox,0.156,0.114,0.4,0.089
42,1.441,3.916,4.474,pose,0.156,0.114,0.4,0.089
43,1.476,4.478,4.474,bbox,0.156,0.114,0.4,0.089
44,1.51,4.469,4.474,bbox,0.156,0.114,0.4,0.089
45,1.544,3.923,4.469,pose,0.156,0.114,0.4,0.089
46,1.579,4.396,4.396,bbox,0.156,0.114,0.435,0.089
47,1.613,4.389,4.396,bbox,0.156,0.114,0.435,0.089
48,1.647,3.907,4.389,pose,0.156,0.114,0.435,0.089
49,1.682,4.359,4.359,bbox,0.156,0.114,0.476,0.089
50,1.716,4.35,4.359,bbox,0.156,0.114,0.476,0.089
51,1.75,3.922,4.35,pose,0.156,0.114,0.476,0.089
52,1.784,4.38,4.35,bbox,0.156,0.114,0.476,0.089
53,1.819,4.38,4.359,bbox,0.156,0.114,0.476,0.089
54,1.853,3.941,4.35,pose,0.156,0.114,0.476,0.089
55,1.887,4.451,4.38,bbox,0.156,0.114,0.476,0.134
56,1.922,4.462,4.38,bbox,0.156,0.114,0.476,0.134
57,1.956,3.915,4.38,pose,0.156,0.114,0.476,0.134
58,1.99,4.532,4.451,bbox,0.156,0.114,0.476,0.174
59,2.025,4.533,4.462,bbox,0.156,0.114,0.476,0.174
60,2.059,3.914,4.462,pose,0.156,0.114,0.476,0.174
61,2.093,4.508,4.508,bbox,0.156,0.114,0.476,0.21
62,2.128,4.396,4.508,bbox,0.156,0.114,0.512,0.21
63,2.162,3.874,4.396,pose,0.187,0.114,0.512,0.247
64,2.196,4.306,4.306,bbox,0.187,0.114,0.512,0.247
65,2.231,4.27,4.306,bbox,0.187,0.114,0.578,0.247
66,2.265,3.891,4.27,pose,0.226,0.114,0.578,0.247
67,2.299,4.095,4.095,bbox,0.226,0.114,0.578,0.247
68,2.334,4.033,4.095,bbox,0.27,0.114,0.578,0.247
69,2.368,3.855,4.033,pose,0.27,0.114,0.578,0.247
70,2.402,3.959,3.959,bbox,0.385,0.114,0.578,0.247
71,2.437,3.922,3.959,bbox,0.426,0.114,0.578,0.247
72,2.471,3.743,3.922,pose,0.426,0.114,0.578,0.247
73,2.505,3.908,3.908,bbox,0.484,0.114,0.578,0.291
74,2.539,3.864,3.908,bbox,0.515,0.114,0.578,0.291
75,2.574,3.48,3.864,pose,0.515,0.114,0.578,0.291
76,2.608,3.891,3.864,bbox,0.55,0.114,0.578,0.291
77,2.642,3.949,3.891,bbox,0.55,0.114,0.578,0.291
78,2.677,3.967,3.891,bbox,0.55,0.114,0.578,0.291
79,2.711,3.928,3.928,bbox,0.55,0.114,0.578,0.291
80,2.745,3.865,3.928,bbox,0.55,0.114,0.578,0.291
81,2.78,3.809,3.928,bbox,0.55,0.114,0.578,0.291
82,2.814,3.717,3.865,bbox,0.597,0.114,0.578,0.291
83,2.848,3.631,3.809,bbox,0.597,0.114,0.578,0.291
84,2.883,3.611,3.717,bbox,0.687,0.114,0.578,0.291
85,2.917,3.653,3.653,bbox,0.787,0.114,0.655,0.291
86,2.951,3.624,3.631,bbox,0.787,0.114,0.655,0.291
87,2.986,3.584,3.624,bbox,0.787,0.114,0.655,0.291
88,3.02,3.567,3.611,bbox,0.819,0.114,0.655,0.291
89,3.054,3.528,3.584,bbox,0.819,0.114,0.655,0.291
90,3.089,2.873,3.567,pose,0.819,0.114,0.655,0.291
91,3.123,,,,0.819,0.114,0.655,0.291
92,3.157,3.209,3.528,bbox,0.819,0.114,0.655,0.291
93,3.191,3.088,3.209,bbox,0.819,0.114,0.728,0.291
94,3.226,3.032,3.088,bbox,0.819,0.114,0.728,0.291
95,3.26,3.002,3.032,bbox,0.867,0.114,0.782,0.291
96,3.294,2.284,3.032,pose,0.867,0.114,0.832,0.291
97,3.329,2.915,3.002,bbox,0.867,0.114,0.873,0.291
