time_s,duration_s,confidence,min_distance_m,separation_m,audio_strength,sustained,in_distance,closing,separated,isolated,signals
153.18,0.6,0.905,2.49,0.42,0.523,1,1,1,1,1,sustained+in_distance+closing+separated+isolated
39.7,0.12,0.888,2.69,0.23,0.84,1,1,1,1,0,sustained+in_distance+closing+separated
123.3,0.12,0.86,2.83,0.56,0.7,1,1,1,1,0,sustained+in_distance+closing+separated
47.76,0.14,0.853,2.31,0.58,0.667,1,1,1,1,0,sustained+in_distance+closing+separated
176.74,0.08,0.844,0.57,2.21,0.218,1,1,1,1,1,sustained+in_distance+closing+separated+isolated
124.06,0.88,0.843,2.79,0.4,0.613,1,1,1,1,0,sustained+in_distance+closing+separated
51.48,0.06,0.809,2.48,0.29,0.445,1,1,1,1,0,sustained+in_distance+closing+separated
81.82,0.4,0.798,2.9,0.23,0.788,1,1,0,1,0,sustained+in_distance+separated
56.74,0.06,0.795,2.75,0.4,0.377,1,1,1,1,0,sustained+in_distance+closing+separated
128.0,0.14,0.791,2.01,2.63,0.353,1,1,1,1,0,sustained+in_distance+closing+separated
70.74,0.1,0.783,2.96,2.53,0.313,1,1,0,1,1,sustained+in_distance+separated+isolated
4.48,0.08,0.782,2.83,0.24,0.311,1,1,0,1,1,sustained+in_distance+separated+isolated
22.4,0.18,0.765,1.15,3.74,0.223,1,1,0,1,1,sustained+in_distance+separated+isolated
91.96,0.2,0.756,1.07,4.0,0.179,1,1,0,1,1,sustained+in_distance+separated+isolated
3.58,0.16,0.754,2.75,0.32,0.169,1,1,0,1,1,sustained+in_distance+separated+isolated
164.06,0.02,0.747,2.09,0.67,0.535,0,1,1,1,1,in_distance+closing+separated+isolated
90.8,0.02,0.745,0.85,1.0,0.524,0,1,1,1,1,in_distance+closing+separated+isolated
10.18,0.04,0.73,2.21,0.31,0.45,0,1,1,1,1,in_distance+closing+separated+isolated
122.8,0.08,0.705,2.83,0.31,0.323,1,1,0,1,0,sustained+in_distance+separated
