time_s,confidence,min_distance_m,separation_m,audio_support,signals
22.77,0.491,0.9,1.47,0,approach+separated
25.03,0.657,1.57,1.97,0,approach+separated
41.07,0.77,1.69,2.31,0,approach+separated
46.1,0.413,2.03,1.24,0,approach+separated
81.53,1.0,2.58,3.91,0,approach+separated
113.73,1.0,1.06,3.84,0,approach+separated
128.83,1.0,2.49,3.53,0,approach+separated
137.13,1.0,0.58,4.89,0,approach+separated
142.8,0.447,2.74,1.34,0,approach+separated
148.67,0.401,3.58,1.2,0,approach+separated
159.9,0.362,1.02,1.09,0,approach+separated
168.67,0.401,5.1,1.2,0,approach+separated
181.0,0.898,2.46,2.69,0,approach+separated
185.93,1.0,0.87,4.66,0,approach+separated
