frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m
0,0.0,4.322,4.322,pose,0.0,0.0,0.0,0.0
1,0.034,4.742,4.532,bbox,0.064,0.0,0.144,0.0
2,0.069,4.766,4.742,bbox,0.11,0.0,0.286,0.0
3,0.103,4.162,4.532,pose,0.11,0.055,0.286,0.092
4,0.137,4.742,4.742,bbox,0.165,0.055,0.378,0.092
5,0.172,4.762,4.742,bbox,0.165,0.055,0.378,0.092
6,0.206,4.153,4.742,pose,0.165,0.055,0.378,0.092
7,0.24,4.726,4.726,bbox,0.165,0.055,0.419,0.092
8,0.275,4.732,4.732,bbox,0.165,0.055,0.419,0.092
9,0.309,4.177,4.726,pose,0.165,0.055,0.47,0.092
10,0.343,4.677,4.677,bbox,0.165,0.055,0.47,0.092
11,0.377,4.619,4.677,bbox,0.165,0.055,0.47,0.092
12,0.412,4.459,4.619,pose,0.165,0.055,0.598,0.092
13,0.446,4.564,4.564,bbox,0.196,0.055,0.628,0.092
14,0.48,4.615,4.615,bbox,0.196,0.055,0.628,0.092
15,0.515,4.47,4.564,pose,0.196,0.055,0.683,0.092
16,0.549,4.693,4.564,bbox,0.196,0.102,0.683,0.092
17,0.583,4.754,4.615,bbox,0.196,0.102,0.733,0.092
18,0.618,4.066,4.615,pose,0.196,0.102,0.733,0.092
19,0.652,4.675,4.675,bbox,0.196,0.169,0.798,0.092
20,0.686,4.611,4.675,bbox,0.196,0.169,0.86,0.092
21,0.721,4.064,4.611,pose,0.196,0.169,0.86,0.092
22,0.755,4.616,4.611,bbox,0.196,0.169,0.896,0.092
23,0.789,4.586,4.611,bbox,0.196,0.169,0.95,0.092
24,0.824,4.071,4.586,pose,0.196,0.169,0.95,0.092
25,0.858,4.55,4.55,bbox,0.196,0.169,0.997,0.092
26,0.892,4.534,4.55,bbox,0.196,0.169,0.997,0.092
27,0.927,4.031,4.534,pose,0.196,0.207,0.997,0.092
28,0.961,4.558,4.534,bbox,0.196,0.207,0.997,0.092
29,0.995,4.591,4.55,bbox,0.196,0.207,0.997,0.092
30,1.03,3.999,4.534,pose,0.196,0.207,0.997,0.092
31,1.064,4.55,4.55,bbox,0.196,0.239,0.997,0.131
32,1.098,4.529,4.55,bbox,0.196,0.239,0.997,0.131
33,1.132,3.983,4.529,pose,0.196,0.239,0.997,0.131
34,1.167,4.583,4.529,bbox,0.196,0.239,0.997,0.131
35,1.201,4.549,4.549,bbox,0.196,0.239,0.997,0.131
36,1.235,3.955,4.529,pose,0.196,0.239,0.997,0.131
37,1.27,4.52,4.52,bbox,0.196,0.239,0.997,0.131
38,1.304,4.531,4.531,bbox,0.196,0.239,0.997,0.131
