frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m
0,0.0,2.355,2.355,pose,0.0,0.0,0.0,0.0
1,0.017,2.926,2.64,bbox,0.0,0.0,0.053,0.0
2,0.033,2.921,2.921,bbox,0.04,0.0,0.106,0.0
3,0.05,2.367,2.644,pose,0.04,0.0,0.106,0.0
4,0.067,2.979,2.921,bbox,0.04,0.0,0.106,0.0
5,0.083,2.974,2.926,bbox,0.04,0.0,0.106,0.0
6,0.1,2.342,2.921,pose,0.04,0.0,0.106,0.0
7,0.117,2.953,2.953,bbox,0.04,0.0,0.106,0.0
8,0.133,2.955,2.955,bbox,0.04,0.0,0.106,0.0
9,0.15,2.292,2.953,pose,0.04,0.0,0.106,0.0
10,0.167,2.894,2.894,bbox,0.04,0.0,0.106,0.0
11,0.184,2.854,2.894,bbox,0.04,0.0,0.151,0.0
12,0.2,2.188,2.854,pose,0.04,0.0,0.151,0.0
13,0.217,2.795,2.795,bbox,0.04,0.0,0.184,0.0
14,0.234,2.734,2.795,bbox,0.088,0.0,0.184,0.0
15,0.25,2.11,2.734,pose,0.088,0.0,0.24,0.0
16,0.267,2.665,2.665,bbox,0.088,0.0,0.24,0.0
17,0.284,2.601,2.665,bbox,0.123,0.0,0.303,0.0
18,0.3,2.015,2.601,pose,0.123,0.0,0.303,0.0
19,0.317,2.525,2.525,bbox,0.123,0.0,0.344,0.0
20,0.334,2.499,2.525,bbox,0.161,0.0,0.344,0.0
21,0.35,1.975,2.499,pose,0.161,0.0,0.344,0.0
22,0.367,2.456,2.456,bbox,0.161,0.0,0.418,0.0
23,0.384,2.439,2.456,bbox,0.161,0.0,0.418,0.0
24,0.4,1.873,2.439,pose,0.161,0.0,0.418,0.0
25,0.417,2.419,2.419,bbox,0.205,0.0,0.464,0.0
26,0.434,2.422,2.422,bbox,0.205,0.0,0.464,0.0
27,0.45,1.75,2.419,pose,0.205,0.0,0.464,0.0
28,0.467,2.351,2.351,bbox,0.205,0.0,0.51,0.0
29,0.484,2.299,2.351,bbox,0.205,0.0,0.51,0.0
30,0.501,1.63,2.299,pose,0.205,0.0,0.51,0.0
31,0.517,2.282,2.282,bbox,0.205,0.0,0.606,0.0
32,0.534,2.267,2.282,bbox,0.285,0.0,0.606,0.0
33,0.551,1.613,2.267,pose,0.285,0.0,0.606,0.0
34,0.567,2.248,2.248,bbox,0.285,0.0,0.606,0.0
35,0.584,2.219,2.248,bbox,0.285,0.0,0.642,0.0
36,0.601,1.577,2.219,pose,0.285,0.0,0.642,0.0
37,0.617,2.19,2.19,bbox,0.285,0.0,0.642,0.0
38,0.634,2.165,2.19,bbox,0.333,0.0,0.642,0.0
39,0.651,1.571,2.165,pose,0.333,0.0,0.642,0.0
40,0.667,2.147,2.147,bbox,0.365,0.0,0.642,0.0
41,0.684,2.137,2.147,bbox,0.365,0.0,0.642,0.0
42,0.701,1.541,2.137,pose,0.365,0.0,0.642,0.0
43,0.717,2.128,2.128,bbox,0.365,0.0,0.642,0.0
44,0.734,2.126,2.128,bbox,0.365,0.0,0.673,0.0
45,0.751,1.548,2.126,pose,0.365,0.0,0.673,0.0
46,0.767,2.117,2.117,bbox,0.365,0.0,0.673,0.0
47,0.784,2.129,2.126,bbox,0.365,0.0,0.673,0.0
48,0.801,1.556,2.117,pose,0.365,0.0,0.673,0.0
49,0.817,2.147,2.117,bbox,0.365,0.0,0.707,0.0
50,0.834,2.155,2.129,bbox,0.365,0.0,0.707,0.0
51,0.851,1.605,2.129,pose,0.365,0.0,0.707,0.0
52,0.868,2.179,2.147,bbox,0.365,0.0,0.707,0.0
53,0.884,2.188,2.155,bbox,0.365,0.0,0.707,0.0
54,0.901,1.608,2.155,pose,0.365,0.0,0.707,0.0
55,0.918,2.175,2.175,bbox,0.365,0.0,0.707,0.0
56,0.934,2.198,2.179,bbox,0.365,0.0,0.707,0.036
57,0.951,1.598,2.175,pose,0.365,0.0,0.707,0.036
58,0.968,2.195,2.175,bbox,0.365,0.0,0.707,0.036
59,0.984,2.206,2.195,bbox,0.365,0.0,0.707,0.036
60,1.001,1.628,2.195,pose,0.365,0.0,0.707,0.036
61,1.018,2.217,2.195,bbox,0.365,0.041,0.707,0.036
62,1.034,2.228,2.206,bbox,0.365,0.041,0.707,0.036
63,1.051,1.669,2.206,pose,0.365,0.041,0.707,0.036
64,1.068,2.246,2.217,bbox,0.365,0.072,0.707,0.036
65,1.084,2.26,2.228,bbox,0.365,0.072,0.707,0.036
66,1.101,1.728,2.228,pose,0.365,0.072,0.707,0.036
67,1.118,2.258,2.246,bbox,0.365,0.072,0.707,0.036
68,1.134,2.266,2.258,bbox,0.365,0.072,0.707,0.036
69,1.151,1.764,2.258,pose,0.365,0.072,0.707,0.036
70,1.168,2.306,2.258,bbox,0.365,0.072,0.707,0.075
