frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
0,0.0,3.285,3.285,bbox,0.0,0.0,0.0,0.0,6.724,9.3218,,0.3111,,0.7118
1,0.033,3.291,3.288,bbox,0.0,0.0,0.0,0.0,6.7217,9.3171,,,,
2,0.067,3.31,3.291,bbox,0.0,0.0,0.0,0.0,6.7187,9.3072,,,,
3,0.1,3.279,3.288,bbox,0.0,0.0,0.0,0.0,6.7203,9.2885,,0.362,,0.7119
4,0.133,3.273,3.285,bbox,0.0,0.0,0.0,0.0,6.72,9.2817,,,,
5,0.167,3.237,3.279,bbox,0.0,0.0,0.033,0.0,6.721,9.2663,,,,
6,0.2,2.752,3.273,pose,0.0,0.0,0.033,0.0,6.7276,9.252,0.115,0.4117,0.0698,0.7157
7,0.233,3.181,3.237,bbox,0.0,0.0,0.033,0.0,6.7295,9.232,,,,
8,0.267,3.186,3.186,bbox,0.0,0.0,0.07,0.0,6.7293,9.2217,,,,
9,0.3,3.181,3.181,bbox,0.0,0.0,0.07,0.0,6.7341,9.2131,,0.3924,,0.6596
10,0.333,,,,0.0,0.0,0.07,0.0,,,,,,
11,0.367,,,,0.0,0.0,0.07,0.0,,,,,,
12,0.4,3.136,3.181,bbox,0.0,0.0,0.1,0.0,6.7553,9.1771,,0.4434,,0.7376
13,0.433,3.122,3.181,bbox,0.0,0.0,0.1,0.0,6.7688,9.1701,,,,
14,0.467,,,,0.0,0.0,0.1,0.0,,,,,,
15,0.5,,,,0.0,0.0,0.1,0.0,,,,,,
16,0.533,,,,0.0,0.0,0.1,0.0,,,,,,
17,0.567,,,,0.0,0.0,0.1,0.0,,,,,,
18,0.6,,,,0.0,0.0,0.1,0.0,,,,,,
19,0.633,3.009,3.136,bbox,0.031,0.0,0.145,0.0,6.8145,9.1085,,,,
20,0.667,,,,0.031,0.0,0.145,0.0,,,,,,
21,0.7,2.947,3.122,bbox,0.031,0.0,0.145,0.0,6.837,9.0743,,0.3535,,0.7024
22,0.733,2.894,3.009,bbox,0.09,0.0,0.213,0.0,6.8555,9.0472,,,,
23,0.767,2.832,2.947,bbox,0.09,0.0,0.248,0.0,6.8878,9.0205,,,,
24,0.8,2.799,2.894,bbox,0.131,0.0,0.248,0.0,6.9081,9.0017,,,,
25,0.833,2.723,2.832,bbox,0.164,0.0,0.301,0.0,6.9178,8.9701,,,,
26,0.867,2.658,2.799,bbox,0.164,0.0,0.301,0.0,6.9258,8.9188,,,,
27,0.9,2.542,2.723,bbox,0.194,0.0,0.352,0.0,6.9508,8.8922,,,,
28,0.933,2.475,2.658,bbox,0.194,0.0,0.403,0.0,6.9669,8.887,,,,
29,0.967,2.475,2.542,bbox,0.227,0.0,0.403,0.0,6.9735,8.8782,,,,
30,1.0,2.405,2.475,bbox,0.227,0.0,0.435,0.0,6.9883,8.866,,,,
31,1.033,,,,0.227,0.0,0.435,0.0,,,,,,
32,1.067,2.488,2.475,bbox,0.227,0.0,0.435,0.0,7.0078,8.8376,,,,
33,1.1,2.467,2.475,bbox,0.264,0.0,0.435,0.0,7.021,8.82,,,,
34,1.133,2.489,2.475,bbox,0.264,0.0,0.484,0.0,7.031,8.8096,,,,
35,1.167,2.493,2.488,bbox,0.297,0.0,0.484,0.0,7.0308,8.8025,,,,
36,1.2,2.484,2.488,bbox,0.297,0.0,0.484,0.0,7.0262,8.7875,,,,
37,1.233,2.45,2.484,bbox,0.297,0.0,0.519,0.0,7.0245,8.7731,,,,
38,1.267,,,,0.297,0.0,0.519,0.0,,,,,,
39,1.3,,,,0.297,0.0,0.519,0.0,,,,,,
40,1.333,2.24,2.484,bbox,0.297,0.0,0.519,0.0,7.0232,8.7347,,,,
41,1.367,,,,0.297,0.0,0.519,0.0,,,,,,
42,1.4,,,,0.297,0.0,0.519,0.0,,,,,,
43,1.433,,,,0.297,0.0,0.519,0.0,,,,,,
44,1.467,,,,0.297,0.0,0.519,0.0,,,,,,
45,1.5,,,,0.297,0.0,0.519,0.0,,,,,,
46,1.533,,,,0.297,0.0,0.519,0.0,,,,,,
47,1.567,,,,0.297,0.0,0.519,0.0,,,,,,
48,1.6,,,,0.297,0.0,0.519,0.0,,,,,,
49,1.633,,,,0.297,0.0,0.519,0.0,,,,,,
50,1.667,1.945,2.45,bbox,0.297,0.0,0.519,0.0,6.9978,8.414,,,,
51,1.7,,,,0.297,0.0,0.519,0.0,,,,,,
52,1.733,,,,0.297,0.0,0.519,0.0,,,,,,
53,1.767,,,,0.297,0.0,0.519,0.0,,,,,,
54,1.8,,,,0.297,0.0,0.519,0.0,,,,,,
55,1.833,,,,0.297,0.0,0.519,0.0,,,,,,
56,1.867,,,,0.297,0.0,0.519,0.0,,,,,,
57,1.9,,,,0.297,0.0,0.519,0.0,,,,,,
58,1.933,4.836,2.45,bbox,0.297,0.0,0.587,0.0,3.0541,8.2484,,,,
59,1.967,4.867,2.45,bbox,0.297,0.0,0.737,0.0,3.0692,8.2366,,,,
60,2.0,1.782,2.24,bbox,0.297,0.08,0.887,0.0,6.9406,8.2248,,0.1693,,-0.5627
61,2.033,1.799,1.945,bbox,0.297,0.08,0.887,0.0,6.9346,8.2277,,,,
62,2.067,1.796,1.799,bbox,0.297,0.08,0.887,0.0,6.9319,8.2333,,,,
63,2.1,2.16,1.799,pose,0.297,0.08,0.887,0.0,6.9285,8.2132,0.1201,0.0501,0.1237,-0.5915
64,2.133,4.683,1.799,bbox,0.297,0.08,0.887,0.0,3.2144,8.2158,,,,
65,2.167,,,,0.297,0.08,0.887,0.0,,,,,,
66,2.2,4.61,2.16,bbox,0.297,0.08,0.92,0.0,3.2934,8.195,0.0928,,-0.5832,
67,2.233,4.543,4.543,bbox,0.297,0.243,0.92,0.0,3.3472,8.1869,,,,
68,2.267,,,,0.297,0.243,0.92,0.0,,,,,,
69,2.3,,,,0.297,0.243,0.92,0.0,,,,,,
70,2.333,,,,0.297,0.243,0.92,0.0,,,,,,
71,2.367,,,,0.297,0.243,0.92,0.0,,,,,,
72,2.4,,,,0.297,0.243,0.92,0.0,,,,,,
73,2.433,,,,0.297,0.243,0.92,0.0,,,,,,
74,2.467,,,,0.297,0.243,0.92,0.0,,,,,,
75,2.5,,,,0.297,0.243,0.92,0.0,,,,,,
76,2.533,,,,0.297,0.243,0.92,0.0,,,,,,
77,2.567,,,,0.297,0.243,0.92,0.0,,,,,,
78,2.6,,,,0.297,0.243,0.92,0.0,,,,,,
79,2.633,1.796,4.543,bbox,0.297,0.243,0.92,0.0,6.8942,8.0364,,,,
80,2.667,1.816,4.543,bbox,0.297,0.243,0.92,0.0,6.8663,8.0064,,,,
81,2.7,,,,0.297,0.243,0.92,0.0,,,,,,
82,2.733,,,,0.297,0.243,0.92,0.0,,,,,,
83,2.767,4.188,4.188,bbox,0.447,0.243,1.099,0.0,3.6788,8.0079,,,,
84,2.8,,,,0.447,0.243,1.099,0.0,,,,,,
85,2.833,,,,0.447,0.243,1.099,0.0,,,,,,
86,2.867,,,,0.447,0.243,1.099,0.0,,,,,,
87,2.9,,,,0.447,0.243,1.099,0.0,,,,,,
88,2.933,,,,0.447,0.243,1.099,0.0,,,,,,
89,2.967,,,,0.447,0.243,1.099,0.0,,,,,,
90,3.0,,,,0.447,0.243,1.099,0.0,,,,,,
91,3.033,,,,0.447,0.243,1.099,0.0,,,,,,
92,3.067,,,,0.447,0.243,1.099,0.0,,,,,,
93,3.1,,,,0.447,0.243,1.099,0.0,,,,,,
94,3.133,,,,0.447,0.243,1.099,0.0,,,,,,
95,3.167,,,,0.447,0.243,1.099,0.0,,,,,,
96,3.2,4.417,4.188,bbox,0.488,0.243,1.099,0.0,3.72,8.2036,0.1563,,0.7736,
97,3.233,,,,0.488,0.243,1.099,0.0,,,,,,
98,3.267,,,,0.488,0.243,1.099,0.0,,,,,,
99,3.3,,,,0.488,0.243,1.099,0.0,,,,,,
100,3.333,,,,0.488,0.243,1.099,0.0,,,,,,
101,3.367,,,,0.488,0.243,1.099,0.0,,,,,,
102,3.4,4.31,4.188,bbox,0.488,0.243,1.099,0.0,3.6061,8.2091,0.5086,,0.6758,
103,3.433,4.316,4.31,bbox,0.488,0.284,1.099,0.15,3.5909,8.2442,,,,
104,3.467,,,,0.488,0.284,1.099,0.15,,,,,,
105,3.5,4.643,4.316,bbox,0.488,0.356,1.099,0.15,3.519,8.2669,0.5537,,0.7103,
106,3.533,4.628,4.417,bbox,0.488,0.356,1.099,0.191,3.5383,8.2755,,,,
107,3.567,4.65,4.628,bbox,0.488,0.424,1.099,0.191,3.5378,8.2802,,,,
108,3.6,4.667,4.643,bbox,0.488,0.424,1.099,0.222,3.5235,8.2906,0.1147,,0.5342,
109,3.633,4.736,4.65,bbox,0.488,0.424,1.099,0.222,3.5171,8.3229,,,,
110,3.667,4.791,4.667,bbox,0.488,0.424,1.099,0.222,3.5027,8.36,,,,
111,3.7,,,,0.488,0.424,1.099,0.222,,,,,,
112,3.733,,,,0.488,0.424,1.099,0.222,,,,,,
113,3.767,,,,0.488,0.424,1.099,0.222,,,,,,
114,3.8,,,,0.488,0.424,1.099,0.222,,,,,,
115,3.833,,,,0.488,0.424,1.099,0.222,,,,,,
116,3.867,,,,0.488,0.424,1.099,0.222,,,,,,
117,3.9,,,,0.488,0.424,1.099,0.222,,,,,,
118,3.933,,,,0.488,0.424,1.099,0.222,,,,,,
119,3.967,,,,0.488,0.424,1.099,0.222,,,,,,
120,4.0,,,,0.488,0.424,1.099,0.222,,,,,,
121,4.033,,,,0.488,0.424,1.099,0.222,,,,,,
122,4.067,,,,0.488,0.424,1.099,0.222,,,,,,
123,4.1,,,,0.488,0.424,1.099,0.222,,,,,,
124,4.133,,,,0.488,0.424,1.099,0.222,,,,,,
125,4.167,,,,0.488,0.424,1.099,0.222,,,,,,
126,4.2,,,,0.488,0.424,1.099,0.222,,,,,,
127,4.233,,,,0.488,0.424,1.099,0.222,,,,,,
128,4.267,4.764,4.736,bbox,0.488,0.424,1.099,0.222,3.5395,8.3038,,,,
129,4.3,,,,0.488,0.424,1.099,0.222,,,,,,
130,4.333,,,,0.488,0.424,1.099,0.222,,,,,,
131,4.367,4.615,4.736,bbox,0.488,0.424,1.099,0.222,3.5856,8.17,,,,
132,4.4,4.527,4.736,bbox,0.488,0.424,1.099,0.222,3.5903,8.125,0.6195,,0.6842,
133,4.433,4.564,4.615,bbox,0.535,0.424,1.204,0.222,3.6074,8.11,,,,
134,4.467,4.479,4.564,bbox,0.535,0.424,1.249,0.222,3.6437,8.0762,,,,
135,4.5,4.489,4.527,bbox,0.535,0.424,1.249,0.222,3.6222,8.0513,,,,
136,4.533,4.441,4.489,bbox,0.566,0.424,1.298,0.222,3.6161,8.033,,,,
137,4.567,,,,0.566,0.424,1.298,0.222,,,,,,
138,4.6,4.365,4.479,bbox,0.566,0.424,1.298,0.222,3.6438,7.9704,0.1543,,0.2725,
139,4.633,4.355,4.441,bbox,0.566,0.424,1.341,0.222,3.6366,7.9457,,,,
140,4.667,4.361,4.365,bbox,0.566,0.424,1.404,0.222,3.6434,7.9332,,,,
141,4.7,4.319,4.361,bbox,0.566,0.424,1.404,0.222,3.6583,7.9222,0.3555,,0.7026,
142,4.733,4.266,4.355,bbox,0.566,0.424,1.441,0.222,3.7008,7.9128,,,,
143,4.767,4.239,4.319,bbox,0.608,0.424,1.441,0.222,3.7012,7.9003,,,,
