time_s,confidence,min_distance_m,separation_m,audio_support,signals
2.2,0.81,2.16,2.43,0,approach+separated
22.67,0.47,0.73,1.41,0,approach+separated
24.87,0.446,1.4,1.34,0,approach+separated
36.2,0.268,4.22,0.8,0,approach+separated
41.07,0.614,1.65,1.84,0,approach+separated
46.13,0.423,2.09,1.27,0,approach+separated
58.2,0.803,2.85,2.41,0,approach+separated
71.67,0.561,2.64,1.68,0,approach+separated
81.9,1.0,2.38,4.57,0,approach+separated
113.73,1.0,1.04,3.56,0,approach+separated
128.9,1.0,2.05,3.1,0,approach+separated
137.07,1.0,0.54,3.89,0,approach+separated
142.67,1.0,2.64,3.64,0,approach+separated
148.93,0.42,4.38,1.26,0,approach+separated
158.57,1.0,2.18,3.9,0,approach+separated
162.43,1.0,4.44,3.84,0,approach+separated
180.73,0.914,2.21,2.74,0,approach+separated
185.93,1.0,0.89,4.45,0,approach+separated
187.97,0.697,5.27,2.09,0,approach+separated
