frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
0,0.0,8.186,8.186,pose,0.0,0.0,0.0,0.0,1.0525,9.3118,0.6958,0.1305,0.6405,-0.2235
1,0.033,3.287,5.736,bbox,0.15,0.0,0.0,0.0,6.7228,9.3153,,,,
2,0.067,,,,0.15,0.0,0.0,0.0,,,,,,
3,0.1,,,,0.15,0.0,0.0,0.0,,,,,,
4,0.133,,,,0.15,0.0,0.0,0.0,,,,,,
5,0.167,,,,0.15,0.0,0.0,0.0,,,,,,
6,0.2,,,,0.15,0.0,0.0,0.0,,,,,,
7,0.233,,,,0.15,0.0,0.0,0.0,,,,,,
8,0.267,,,,0.15,0.0,0.0,0.0,,,,,,
9,0.3,,,,0.15,0.0,0.0,0.0,,,,,,
10,0.333,,,,0.15,0.0,0.0,0.0,,,,,,
11,0.367,,,,0.15,0.0,0.0,0.0,,,,,,
12,0.4,,,,0.15,0.0,0.0,0.0,,,,,,
13,0.433,,,,0.15,0.0,0.0,0.0,,,,,,
14,0.467,,,,0.15,0.0,0.0,0.0,,,,,,
15,0.5,,,,0.15,0.0,0.0,0.0,,,,,,
16,0.533,,,,0.15,0.0,0.0,0.0,,,,,,
17,0.567,,,,0.15,0.0,0.0,0.0,,,,,,
18,0.6,,,,0.15,0.0,0.0,0.0,,,,,,
19,0.633,,,,0.15,0.0,0.0,0.0,,,,,,
20,0.667,,,,0.15,0.0,0.0,0.0,,,,,,
21,0.7,,,,0.15,0.0,0.0,0.0,,,,,,
22,0.733,,,,0.15,0.0,0.0,0.0,,,,,,
23,0.767,,,,0.15,0.0,0.0,0.0,,,,,,
24,0.8,,,,0.15,0.0,0.0,0.0,,,,,,
25,0.833,,,,0.15,0.0,0.0,0.0,,,,,,
26,0.867,,,,0.15,0.0,0.0,0.0,,,,,,
27,0.9,,,,0.15,0.0,0.0,0.0,,,,,,
28,0.933,,,,0.15,0.0,0.0,0.0,,,,,,
29,0.967,,,,0.15,0.0,0.0,0.0,,,,,,
30,1.0,,,,0.15,0.0,0.0,0.0,,,,,,
31,1.033,,,,0.15,0.0,0.0,0.0,,,,,,
32,1.067,6.675,6.675,bbox,0.15,0.15,0.0,0.0,2.2916,8.8442,,,,
33,1.1,6.608,6.641,bbox,0.15,0.15,0.15,0.0,2.33,8.8248,0.6275,,0.69,
34,1.133,2.47,6.608,bbox,0.188,0.15,0.3,0.0,7.0246,8.8127,,,,
35,1.167,,,,0.188,0.15,0.3,0.0,,,,,,
36,1.2,,,,0.188,0.15,0.3,0.0,,,,,,
37,1.233,,,,0.188,0.15,0.3,0.0,,,,,,
38,1.267,,,,0.188,0.15,0.3,0.0,,,,,,
39,1.3,,,,0.188,0.15,0.3,0.0,,,,,,
40,1.333,,,,0.188,0.15,0.3,0.0,,,,,,
41,1.367,,,,0.188,0.15,0.3,0.0,,,,,,
42,1.4,,,,0.188,0.15,0.3,0.0,,,,,,
43,1.433,,,,0.188,0.15,0.3,0.0,,,,,,
44,1.467,,,,0.188,0.15,0.3,0.0,,,,,,
45,1.5,,,,0.188,0.15,0.3,0.0,,,,,,
46,1.533,,,,0.188,0.15,0.3,0.0,,,,,,
47,1.567,,,,0.188,0.15,0.3,0.0,,,,,,
48,1.6,,,,0.188,0.15,0.3,0.0,,,,,,
49,1.633,,,,0.188,0.15,0.3,0.0,,,,,,
50,1.667,,,,0.188,0.15,0.3,0.0,,,,,,
51,1.7,,,,0.188,0.15,0.3,0.0,,,,,,
52,1.733,,,,0.188,0.15,0.3,0.0,,,,,,
53,1.767,,,,0.188,0.15,0.3,0.0,,,,,,
54,1.8,,,,0.188,0.15,0.3,0.0,,,,,,
55,1.833,,,,0.188,0.15,0.3,0.0,,,,,,
56,1.867,,,,0.188,0.15,0.3,0.0,,,,,,
57,1.9,,,,0.188,0.15,0.3,0.0,,,,,,
58,1.933,,,,0.188,0.15,0.3,0.0,,,,,,
59,1.967,,,,0.188,0.15,0.3,0.0,,,,,,
60,2.0,,,,0.188,0.15,0.3,0.0,,,,,,
61,2.033,,,,0.188,0.15,0.3,0.0,,,,,,
62,2.067,,,,0.188,0.15,0.3,0.0,,,,,,
63,2.1,,,,0.188,0.15,0.3,0.0,,,,,,
64,2.133,,,,0.188,0.15,0.3,0.0,,,,,,
65,2.167,4.679,4.679,bbox,0.338,0.15,0.3,0.0,3.2443,8.198,,,,
66,2.2,4.631,4.679,bbox,0.338,0.15,0.332,0.0,3.2923,8.1911,,0.0404,,0.5244
67,2.233,4.588,4.631,bbox,0.386,0.15,0.482,0.0,3.3401,8.1792,,,,
68,2.267,,,,0.386,0.15,0.482,0.0,,,,,,
69,2.3,,,,0.386,0.15,0.482,0.0,,,,,,
70,2.333,,,,0.386,0.15,0.482,0.0,,,,,,
71,2.367,,,,0.386,0.15,0.482,0.0,,,,,,
72,2.4,,,,0.386,0.15,0.482,0.0,,,,,,
73,2.433,4.498,4.588,bbox,0.434,0.15,0.482,0.0,3.4878,8.0982,,,,
74,2.467,,,,0.434,0.15,0.482,0.0,,,,,,
75,2.5,,,,0.434,0.15,0.482,0.0,,,,,,
76,2.533,,,,0.434,0.15,0.482,0.0,,,,,,
77,2.567,,,,0.434,0.15,0.482,0.0,,,,,,
78,2.6,,,,0.434,0.15,0.482,0.0,,,,,,
79,2.633,1.804,4.588,bbox,0.434,0.15,0.482,0.0,6.8972,8.0349,,,,
80,2.667,,,,0.434,0.15,0.482,0.0,,,,,,
81,2.7,,,,0.434,0.15,0.482,0.0,,,,,,
82,2.733,,,,0.434,0.15,0.482,0.0,,,,,,
83,2.767,,,,0.434,0.15,0.482,0.0,,,,,,
84,2.8,,,,0.434,0.15,0.482,0.0,,,,,,
85,2.833,,,,0.434,0.15,0.482,0.0,,,,,,
86,2.867,,,,0.434,0.15,0.482,0.0,,,,,,
87,2.9,,,,0.434,0.15,0.482,0.0,,,,,,
88,2.933,,,,0.434,0.15,0.482,0.0,,,,,,
89,2.967,,,,0.434,0.15,0.482,0.0,,,,,,
90,3.0,,,,0.434,0.15,0.482,0.0,,,,,,
91,3.033,,,,0.434,0.15,0.482,0.0,,,,,,
92,3.067,,,,0.434,0.15,0.482,0.0,,,,,,
93,3.1,,,,0.434,0.15,0.482,0.0,,,,,,
94,3.133,,,,0.434,0.15,0.482,0.0,,,,,,
95,3.167,,,,0.434,0.15,0.482,0.0,,,,,,
96,3.2,,,,0.434,0.15,0.482,0.0,,,,,,
97,3.233,1.963,4.498,bbox,0.582,0.15,0.482,0.0,6.8942,8.1772,,,,
98,3.267,1.942,1.963,bbox,0.732,0.15,0.482,0.0,6.8942,8.1687,,,,
99,3.3,1.935,1.942,bbox,0.732,0.15,0.513,0.0,6.8961,8.1664,0.0984,,0.0886,
100,3.333,1.884,1.935,bbox,0.732,0.15,0.513,0.0,6.8986,8.1817,,,,
101,3.367,1.855,1.935,bbox,0.732,0.15,0.513,0.0,6.8972,8.1954,,,,
102,3.4,,,,0.732,0.15,0.513,0.0,,,,,,
103,3.433,,,,0.732,0.15,0.513,0.0,,,,,,
104,3.467,,,,0.732,0.15,0.513,0.0,,,,,,
105,3.5,,,,0.732,0.15,0.513,0.0,,,,,,
106,3.533,,,,0.732,0.15,0.513,0.0,,,,,,
107,3.567,,,,0.732,0.15,0.513,0.0,,,,,,
108,3.6,,,,0.732,0.15,0.513,0.0,,,,,,
