time_s,confidence,min_distance_m,separation_m,audio_support,signals
22.8,0.467,1.15,1.4,0,approach+separated
25.07,0.592,1.5,1.78,0,approach+separated
40.13,0.535,2.12,1.6,0,approach+separated
43.1,0.505,1.66,1.52,0,approach+separated
46.4,0.381,2.75,1.14,0,approach+separated
81.87,1.0,2.39,4.49,0,approach+separated
113.67,1.0,1.08,3.83,0,approach+separated
130.47,1.0,3.25,3.11,0,approach+separated
137.2,1.0,0.5,4.7,0,approach+separated
142.53,1.0,2.54,4.5,0,approach+separated
148.73,0.444,4.37,1.33,0,approach+separated
158.87,1.0,1.58,4.38,0,approach+separated
162.4,0.924,2.08,2.77,0,approach+separated
167.57,0.29,5.34,0.87,0,approach+separated
180.3,0.948,2.35,2.84,0,approach+separated
187.03,1.0,1.04,5.09,0,approach+separated
