frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
0,0.0,2.653,2.653,pose,0.0,0.0,0.0,0.0,2.9473,6.2033,0.8111,0.6864,0.6969,0.7001
1,0.02,3.245,2.949,bbox,0.0,0.0,0.0,0.0,2.9474,6.2098,,,,
2,0.04,3.259,3.245,bbox,0.0,0.0,0.0,0.0,2.9505,6.2219,,,,
3,0.06,2.766,3.005,pose,0.0,0.0,0.0,0.0,2.9541,6.2449,0.7997,0.6222,0.6556,0.7091
4,0.08,3.336,3.245,bbox,0.0,0.0,0.0,0.0,2.9571,6.2568,,,,
5,0.1,3.374,3.259,bbox,0.0,0.0,0.0,0.042,2.9528,6.2653,,,,
6,0.12,2.951,3.259,pose,0.0,0.0,0.0,0.042,2.9499,6.2542,0.7881,0.5492,0.6575,0.6635
7,0.14,3.389,3.336,bbox,0.0,0.0,0.0,0.042,2.9404,6.2221,,,,
8,0.16,3.457,3.374,bbox,0.0,0.0,0.0,0.042,2.9308,6.264,,,,
9,0.18,3.099,3.374,pose,0.0,0.0,0.0,0.042,2.9159,6.2536,0.816,0.4757,0.6768,0.6246
10,0.2,3.464,3.389,bbox,0.0,0.0,0.0,0.042,2.8992,6.2513,,,,
11,0.22,3.465,3.457,bbox,0.0,0.031,0.0,0.042,2.8916,6.2527,,,,
12,0.24,3.156,3.457,pose,0.0,0.031,0.0,0.042,2.8723,6.2563,0.8464,0.4116,0.7006,0.6061
13,0.26,3.494,3.464,bbox,0.0,0.031,0.0,0.042,2.8554,6.2557,,,,
14,0.28,3.511,3.465,bbox,0.0,0.075,0.0,0.042,2.8387,6.2552,,,,
15,0.3,3.156,3.465,pose,0.0,0.075,0.0,0.042,2.7951,6.2528,0.8789,0.4546,0.7159,0.5871
16,0.32,3.577,3.494,bbox,0.0,0.109,0.0,0.042,2.766,6.2503,,,,
17,0.34,3.574,3.511,bbox,0.0,0.152,0.0,0.042,2.7317,6.2354,,,,
18,0.36,3.166,3.511,pose,0.0,0.152,0.0,0.042,2.6857,6.2289,0.8676,0.5601,0.6801,0.6066
19,0.38,3.635,3.574,bbox,0.0,0.216,0.0,0.042,2.6501,6.2207,,,,
20,0.4,3.654,3.577,bbox,0.0,0.262,0.0,0.042,2.6108,6.203,,,,
21,0.42,3.012,3.574,pose,0.0,0.297,0.0,0.042,2.5894,6.1834,0.9655,0.687,0.6402,0.6339
22,0.44,3.709,3.635,bbox,0.0,0.336,0.042,0.042,2.5711,6.17,,,,
23,0.46,3.731,3.654,bbox,0.0,0.336,0.042,0.042,2.5519,6.144,,,,
24,0.48,2.879,3.654,pose,0.0,0.376,0.075,0.042,2.5356,6.1075,1.0489,0.8378,0.5988,0.6364
25,0.5,3.731,3.709,bbox,0.0,0.376,0.075,0.042,2.523,6.0724,,,,
26,0.52,3.733,3.731,bbox,0.0,0.412,0.137,0.042,2.5055,6.0552,,,,
27,0.54,2.806,3.731,pose,0.0,0.412,0.173,0.042,2.4956,6.0378,1.0925,0.9261,0.5815,0.6328
28,0.56,3.778,3.731,bbox,0.0,0.442,0.173,0.042,2.489,6.0218,,,,
29,0.58,3.795,3.733,bbox,0.0,0.442,0.207,0.042,2.4844,6.0149,,,,
30,0.6,2.825,3.733,pose,0.0,0.442,0.207,0.042,2.4665,6.0057,1.0958,0.9904,0.6392,0.599
31,0.62,3.786,3.778,bbox,0.0,0.442,0.207,0.042,2.4649,5.9949,,,,
32,0.64,3.763,3.778,bbox,0.0,0.481,0.239,0.042,2.4536,5.9765,,,,
33,0.66,2.874,3.763,pose,0.0,0.481,0.239,0.042,2.4308,5.9984,1.0082,0.9962,0.6945,0.5862
34,0.68,3.812,3.763,bbox,0.0,0.481,0.239,0.042,2.3927,5.9962,,,,
35,0.7,3.806,3.786,bbox,0.0,0.516,0.239,0.042,2.354,5.9941,,,,
36,0.72,3.028,3.763,pose,0.0,0.555,0.239,0.042,2.3303,5.9799,0.77,0.9226,0.7258,0.6063
37,0.74,3.658,3.658,bbox,0.0,0.593,0.239,0.042,2.3216,5.9065,,,,
38,0.76,3.592,3.658,bbox,0.0,0.593,0.239,0.042,2.315,5.8628,,,,
39,0.78,3.225,3.592,pose,0.0,0.626,0.338,0.042,2.3089,5.8439,0.4859,0.7914,0.7349,0.6454
40,0.8,3.51,3.51,bbox,0.0,0.626,0.382,0.042,2.3078,5.7769,,,,
41,0.82,3.44,3.51,bbox,0.0,0.626,0.382,0.042,2.3033,5.7276,,,,
42,0.84,3.393,3.44,pose,0.0,0.626,0.468,0.042,2.2999,5.7021,0.2847,0.6587,0.7003,0.6912
43,0.86,3.371,3.393,bbox,0.0,0.626,0.517,0.042,2.2934,5.6663,,,,
44,0.88,3.388,3.393,bbox,0.0,0.626,0.517,0.042,2.2822,5.6539,,,,
45,0.9,3.556,3.393,pose,0.0,0.626,0.579,0.042,2.2764,5.6276,0.2149,0.5033,0.6853,0.6988
46,0.92,3.383,3.388,bbox,0.0,0.665,0.579,0.042,2.2709,5.5805,,,,
47,0.94,3.35,3.383,bbox,0.0,0.665,0.617,0.042,2.2696,5.5289,,,,
48,0.96,3.568,3.388,pose,0.0,0.665,0.664,0.042,2.2666,5.5221,0.246,0.3535,0.6563,0.6947
49,0.98,3.332,3.383,bbox,0.0,0.665,0.716,0.042,2.2601,5.5098,,,,
50,1.0,3.344,3.35,bbox,0.0,0.665,0.716,0.042,2.2644,5.482,,,,
51,1.02,3.543,3.35,pose,0.0,0.665,0.716,0.042,2.2679,5.459,0.3613,0.331,0.6288,0.6452
52,1.04,3.314,3.344,bbox,0.0,0.665,0.763,0.042,2.2689,5.4354,,,,
53,1.06,3.272,3.332,bbox,0.0,0.665,0.763,0.042,2.2766,5.4117,,,,
54,1.08,3.292,3.314,pose,0.0,0.665,0.81,0.042,2.2809,5.3919,0.5187,0.3445,0.6308,0.5939
55,1.1,3.2,3.292,bbox,0.0,0.665,0.81,0.042,2.2881,5.3964,,,,
56,1.12,3.165,3.272,bbox,0.0,0.665,0.849,0.042,2.3018,5.3834,,,,
57,1.14,2.896,3.2,pose,0.0,0.665,0.849,0.042,2.316,5.3749,0.7691,0.4927,0.6867,0.5534
58,1.16,3.134,3.165,bbox,0.0,0.665,0.849,0.042,2.3317,5.3534,,,,
59,1.18,3.07,3.134,bbox,0.034,0.665,0.849,0.042,2.36,5.3383,,,,
60,1.2,2.427,3.07,pose,0.034,0.665,0.892,0.042,2.398,5.3367,0.9921,0.7051,0.6933,0.5783
61,1.22,3.04,3.04,bbox,0.078,0.665,0.892,0.042,2.4233,5.3328,,,,
62,1.24,2.977,3.04,bbox,0.116,0.665,0.892,0.042,2.4513,5.318,,,,
63,1.26,2.073,2.977,pose,0.116,0.665,0.892,0.042,2.4683,5.3081,1.073,0.9123,0.6572,0.601
64,1.28,2.931,2.931,bbox,0.169,0.665,0.927,0.042,2.4719,5.2886,,,,
65,1.3,2.986,2.977,bbox,0.169,0.665,0.927,0.042,2.4811,5.2794,,,,
66,1.32,2.044,2.931,pose,0.169,0.665,0.927,0.042,2.4877,5.2653,1.0773,0.971,0.6038,0.5675
67,1.34,2.999,2.931,bbox,0.169,0.665,0.966,0.042,2.4902,5.262,,,,
68,1.36,3.023,2.986,bbox,0.205,0.665,0.966,0.042,2.5021,5.2573,,,,
69,1.38,2.092,2.986,pose,0.205,0.665,0.966,0.042,2.503,5.253,1.0502,0.9561,0.5812,0.5202
70,1.4,3.072,2.999,bbox,0.205,0.665,0.966,0.042,2.5061,5.2524,,,,
71,1.42,3.063,3.023,bbox,0.205,0.665,0.966,0.042,2.5041,5.2513,,,,
72,1.44,2.081,3.023,pose,0.205,0.665,0.966,0.042,2.4946,5.2511,1.0636,0.9295,0.6123,0.5144
73,1.46,3.063,3.063,bbox,0.205,0.665,0.966,0.042,2.4796,5.2509,,,,
74,1.48,3.053,3.063,bbox,0.205,0.665,0.966,0.042,2.4731,5.2498,,,,
75,1.5,2.074,3.053,pose,0.205,0.665,0.966,0.042,2.4622,5.2513,1.0886,0.9485,0.6368,0.5729
76,1.52,3.013,3.013,bbox,0.205,0.665,0.966,0.042,2.4477,5.2567,,,,
77,1.54,3.004,3.013,bbox,0.205,0.665,0.966,0.042,2.4314,5.2529,,,,
