time_s,confidence,min_distance_m,separation_m,audio_support,signals
2.48,0.347,2.15,1.04,0,approach+separated
10.34,0.321,2.21,0.96,0,approach+separated
21.74,0.569,2.16,1.71,0,approach+separated
27.66,0.307,4.47,0.92,0,approach+separated
51.56,0.286,2.63,0.86,0,approach+separated
60.72,0.267,2.4,0.8,0,approach+separated
70.36,1.0,2.12,3.79,0,approach+separated
87.84,0.673,2.39,2.02,0,approach+separated
91.88,1.0,1.64,3.03,0,approach+separated
94.04,1.0,2.3,3.42,0,approach+separated
100.94,0.971,3.75,2.91,0,approach+separated
114.86,0.365,2.74,1.1,0,approach+separated
124.4,0.407,2.73,1.22,0,approach+separated
128.32,0.38,2.45,1.14,0,approach+separated
132.96,1.0,2.08,3.09,0,approach+separated
138.96,0.273,2.67,0.82,0,approach+separated
141.4,0.271,3.16,0.81,0,approach+separated
163.94,0.592,2.23,1.78,0,approach+separated
172.14,0.323,2.9,0.97,0,approach+separated
178.86,0.571,0.57,1.71,0,approach+separated
