frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,
1,0.033,,,,0.0,0.0,0.0,0.0,,,,,,
2,0.067,,,,0.0,0.0,0.0,0.0,,,,,,
3,0.1,,,,0.0,0.0,0.0,0.0,,,,,,
4,0.133,,,,0.0,0.0,0.0,0.0,,,,,,
5,0.167,,,,0.0,0.0,0.0,0.0,,,,,,
6,0.2,,,,0.0,0.0,0.0,0.0,,,,,,
7,0.233,3.108,3.108,bbox,0.0,0.0,0.0,0.0,9.2777,6.7587,,,,
8,0.267,3.15,3.129,bbox,0.0,0.0,0.0,0.0,9.2606,6.7638,,,,
9,0.3,2.455,3.108,pose,0.0,0.0,0.0,0.0,9.2447,6.7683,0.4302,0.0789,0.7006,0.5376
10,0.333,2.96,3.034,bbox,0.0,0.0,0.0,0.0,9.2406,6.7702,,,,
11,0.367,3.107,3.107,bbox,0.033,0.0,0.0,0.0,9.2277,6.7778,,,,
12,0.4,2.485,2.96,pose,0.033,0.0,0.0,0.0,9.2196,6.7907,0.4304,0.051,0.6662,0.4527
13,0.433,3.103,2.96,bbox,0.033,0.0,0.0,0.0,9.2168,6.8039,,,,
14,0.467,3.087,3.087,bbox,0.033,0.0,0.032,0.0,9.2093,6.8105,,,,
15,0.5,3.081,3.087,bbox,0.033,0.0,0.032,0.0,9.2014,6.8171,0.4544,,0.5638,
16,0.533,,,,0.033,0.0,0.032,0.0,,,,,,
17,0.567,3.056,3.081,bbox,0.068,0.0,0.032,0.0,9.1808,6.8269,,,,
18,0.6,3.009,3.081,bbox,0.068,0.0,0.032,0.0,9.1644,6.8492,0.442,,0.7868,
19,0.633,2.986,3.056,bbox,0.068,0.0,0.068,0.0,9.155,6.8672,,,,
20,0.667,2.941,3.009,bbox,0.113,0.0,0.068,0.0,9.1343,6.8869,,,,
21,0.7,2.668,2.986,pose,0.113,0.0,0.108,0.0,9.1213,6.888,0.042,0.0766,0.5618,0.4795
22,0.733,2.854,2.941,bbox,0.143,0.0,0.108,0.0,9.0928,6.9022,,,,
23,0.767,2.831,2.854,bbox,0.143,0.0,0.108,0.0,9.066,6.9133,,,,
24,0.8,2.784,2.831,bbox,0.185,0.0,0.143,0.0,9.0448,6.9338,,0.0426,,0.135
25,0.833,2.698,2.784,bbox,0.185,0.0,0.143,0.0,9.0132,6.9533,,,,
26,0.867,2.649,2.784,bbox,0.233,0.0,0.175,0.0,8.984,6.9696,,,,
27,0.9,2.553,2.698,bbox,0.264,0.0,0.175,0.0,8.955,6.9867,,0.012,,0.17
28,0.933,2.471,2.649,bbox,0.264,0.0,0.211,0.0,8.9455,6.9991,,,,
29,0.967,2.441,2.553,bbox,0.323,0.0,0.211,0.0,8.9263,7.0073,,,,
30,1.0,2.645,2.553,pose,0.323,0.0,0.211,0.0,8.9113,7.0182,0.1197,0.1577,0.3094,0.138
31,1.033,2.457,2.471,bbox,0.323,0.0,0.249,0.0,8.8922,7.0268,,,,
32,1.067,2.469,2.469,bbox,0.366,0.0,0.249,0.0,8.8806,7.0338,,,,
33,1.1,2.441,2.457,bbox,0.366,0.0,0.249,0.0,8.8641,7.0486,,0.1068,,0.5491
34,1.133,2.459,2.459,bbox,0.397,0.0,0.249,0.0,8.8538,7.0542,,,,
35,1.167,2.467,2.459,bbox,0.397,0.0,0.29,0.0,8.8459,7.0579,,,,
36,1.2,2.436,2.459,bbox,0.397,0.0,0.29,0.0,8.8333,7.0584,,0.0623,,0.1572
37,1.233,2.357,2.441,bbox,0.432,0.0,0.29,0.0,8.8161,7.0592,,,,
38,1.267,,,,0.432,0.0,0.29,0.0,,,,,,
39,1.3,,,,0.432,0.0,0.29,0.0,,,,,,
40,1.333,2.235,2.436,bbox,0.432,0.0,0.29,0.0,8.7778,7.0588,,,,
41,1.367,2.179,2.357,bbox,0.432,0.0,0.29,0.0,8.7478,7.0592,,,,
42,1.4,3.099,2.357,pose,0.5,0.0,0.29,0.0,8.6953,7.0585,0.093,0.1673,0.573,0.9386
43,1.433,,,,0.5,0.0,0.29,0.0,,,,,,
44,1.467,,,,0.5,0.0,0.29,0.0,,,,,,
45,1.5,,,,0.5,0.0,0.29,0.0,,,,,,
46,1.533,2.049,2.235,bbox,0.53,0.0,0.29,0.0,8.6061,7.0501,,,,
47,1.567,,,,0.53,0.0,0.29,0.0,,,,,,
48,1.6,,,,0.53,0.0,0.29,0.0,,,,,,
49,1.633,,,,0.53,0.0,0.29,0.0,,,,,,
50,1.667,5.051,2.235,bbox,0.582,0.0,0.29,0.0,2.8899,7.0322,,,,
51,1.7,4.817,3.099,pose,0.672,0.0,0.29,0.0,2.9188,7.0304,0.1376,0.0968,0.6748,0.0371
52,1.733,5.088,4.817,bbox,0.822,0.0,0.29,0.0,2.9399,8.3661,,,,
53,1.767,4.937,4.937,bbox,0.822,0.0,0.29,0.0,2.9652,8.3239,,,,
54,1.8,4.882,4.937,bbox,0.822,0.0,0.441,0.0,2.9885,8.3034,0.1904,,0.6765,
55,1.833,4.866,4.882,bbox,0.822,0.0,0.441,0.0,3.0321,8.2907,,,,
56,1.867,4.858,4.882,bbox,0.822,0.049,0.441,0.0,3.0311,8.2828,,,,
57,1.9,4.873,4.873,bbox,0.822,0.091,0.441,0.0,3.0472,8.2888,0.1495,,0.6902,
58,1.933,4.808,4.866,bbox,0.822,0.091,0.441,0.0,3.0713,8.2686,,,,
59,1.967,4.876,4.866,bbox,0.822,0.091,0.441,0.0,3.0802,8.2613,,,,
60,2.0,4.817,4.858,bbox,0.822,0.131,0.441,0.035,3.0981,8.2553,0.0326,,0.646,
61,2.033,,,,0.822,0.131,0.441,0.035,,,,,,
62,2.067,,,,0.822,0.131,0.441,0.035,,,,,,
63,2.1,,,,0.822,0.131,0.441,0.035,,,,,,
