frame,time_s,distance_raw_m,distance_smooth_m,distance_bbox_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
0,0.0,1.847,1.847,1.558,pose,0.0,0.0,0.0,0.0,3.3734,4.6287,0.3362,0.3328,0.3804,1.3505
1,0.04,1.539,1.693,1.539,bbox,0.0,0.0,0.0,0.0,3.392,4.6284,,,,
2,0.08,1.56,1.56,1.56,bbox,0.0,0.0,0.0,0.0,3.3723,4.6265,,,,
3,0.12,1.799,1.679,1.567,pose,0.0,0.0,0.0,0.0,3.3919,4.6261,0.2443,0.2512,0.4155,1.2631
4,0.16,1.542,1.56,1.542,bbox,0.0,0.0,0.0,0.0,3.4011,4.6246,,,,
5,0.2,1.545,1.545,1.545,bbox,0.0,0.0,0.0,0.0,3.3975,4.6244,,,,
6,0.24,1.726,1.56,1.548,pose,0.0,0.0,0.0,0.0,3.3779,4.6238,0.2167,0.2841,0.4094,1.2774
7,0.28,1.571,1.571,1.571,bbox,0.0,0.0,0.0,0.0,3.3581,4.6237,,,,
8,0.32,1.575,1.571,1.575,bbox,0.0,0.0,0.0,0.0,3.3546,4.6247,,,,
9,0.36,1.763,1.575,1.584,pose,0.0,0.0,0.0,0.0,3.3457,4.626,0.2307,0.2231,0.4051,1.2908
10,0.4,1.593,1.593,1.593,bbox,0.0,0.0,0.0,0.0,3.3358,4.6263,,,,
11,0.44,1.592,1.592,1.592,bbox,0.0,0.0,0.0,0.0,3.334,4.6273,,,,
12,0.48,1.794,1.593,1.592,pose,0.0,0.033,0.0,0.0,3.3407,4.6286,0.2593,0.3192,0.3951,1.2769
13,0.52,1.609,1.609,1.609,bbox,0.0,0.033,0.0,0.0,3.3157,4.6281,,,,
14,0.56,1.632,1.609,1.632,bbox,0.0,0.033,0.0,0.0,3.3,4.6276,,,,
15,0.6,1.737,1.632,1.634,pose,0.0,0.033,0.0,0.0,3.2965,4.6269,0.3302,0.1976,0.3789,1.2657
16,0.64,1.625,1.632,1.625,bbox,0.0,0.066,0.0,0.0,3.3077,4.6263,,,,
17,0.68,1.615,1.625,1.615,bbox,0.0,0.066,0.0,0.0,3.3004,4.6274,,,,
18,0.72,1.737,1.632,1.627,pose,0.0,0.066,0.0,0.0,3.2865,4.6274,0.3531,0.2699,0.3433,1.2588
19,0.76,1.638,1.638,1.638,bbox,0.0,0.066,0.0,0.0,3.279,4.6273,,,,
20,0.8,1.645,1.638,1.645,bbox,0.0,0.066,0.0,0.0,3.2771,4.6288,,,,
21,0.84,1.778,1.645,1.653,pose,0.0,0.066,0.0,0.0,3.2725,4.6293,0.3629,0.2382,0.3291,1.2719
22,0.88,1.659,1.659,1.659,bbox,0.0,0.096,0.0,0.0,3.2725,4.6317,,,,
23,0.92,1.656,1.656,1.656,bbox,0.0,0.096,0.0,0.0,3.2799,4.6324,,,,
24,0.96,1.81,1.659,1.662,pose,0.0,0.096,0.0,0.0,3.2743,4.6317,0.359,0.2081,0.328,1.2792
25,1.0,1.652,1.659,1.652,bbox,0.0,0.096,0.0,0.0,3.2799,4.6329,,,,
26,1.04,1.642,1.656,1.642,bbox,0.0,0.096,0.0,0.0,3.2926,4.6335,,,,
27,1.08,1.89,1.656,1.629,pose,0.0,0.096,0.0,0.0,3.3063,4.6326,0.3442,0.1876,0.3385,1.2843
28,1.12,1.62,1.652,1.62,bbox,0.0,0.096,0.0,0.0,3.318,4.6355,,,,
29,1.16,1.612,1.642,1.612,bbox,0.0,0.096,0.0,0.0,3.3282,4.6353,,,,
30,1.2,1.778,1.642,1.612,pose,0.041,0.096,0.0,0.0,3.3304,4.6342,0.337,0.2503,0.3537,1.262
31,1.24,1.609,1.62,1.609,bbox,0.041,0.096,0.0,0.0,3.3313,4.633,,,,
32,1.28,1.616,1.616,1.616,bbox,0.041,0.096,0.0,0.0,3.3259,4.6311,,,,
33,1.32,1.801,1.616,1.624,pose,0.041,0.096,0.0,0.0,3.3161,4.6313,0.3364,0.2659,0.3569,1.2602
34,1.36,1.636,1.636,1.636,bbox,0.041,0.096,0.0,0.0,3.3053,4.6297,,,,
35,1.4,1.644,1.636,1.644,bbox,0.041,0.096,0.0,0.0,3.2963,4.6286,,,,
36,1.44,1.773,1.644,1.656,pose,0.041,0.096,0.0,0.0,3.2877,4.6275,0.3451,0.3279,0.3396,1.2741
37,1.48,1.662,1.662,1.662,bbox,0.041,0.096,0.0,0.0,3.2774,4.6282,,,,
38,1.52,1.663,1.662,1.663,bbox,0.041,0.127,0.0,0.0,3.268,4.6291,,,,
39,1.56,1.858,1.663,1.651,pose,0.041,0.127,0.0,0.0,3.2676,4.6316,0.3518,0.3177,0.372,1.2911
40,1.6,1.638,1.663,1.638,bbox,0.041,0.127,0.0,0.0,3.2759,4.6327,,,,
41,1.64,1.63,1.662,1.63,bbox,0.041,0.127,0.0,0.0,3.2698,4.6367,,,,
42,1.68,1.815,1.663,1.638,pose,0.041,0.127,0.0,0.0,3.259,4.6404,0.2641,0.3367,0.4198,1.228
43,1.72,1.644,1.644,1.644,bbox,0.041,0.127,0.0,0.0,3.2559,4.6492,,,,
44,1.76,1.642,1.642,1.642,bbox,0.041,0.127,0.0,0.0,3.2553,4.6536,,,,
45,1.8,1.899,1.644,1.647,pose,0.041,0.127,0.0,0.0,3.26,4.658,0.2301,0.1316,0.4476,1.2596
46,1.84,1.654,1.654,1.654,bbox,0.041,0.127,0.0,0.0,3.2594,4.662,,,,
47,1.88,1.659,1.654,1.659,bbox,0.041,0.127,0.0,0.0,3.2613,4.6743,,,,
48,1.92,2.067,1.659,1.676,pose,0.041,0.127,0.0,0.033,3.2464,4.6768,0.3165,0.2517,0.4277,1.2075
49,1.96,1.694,1.694,1.694,bbox,0.041,0.127,0.0,0.033,3.2357,4.6805,,,,
50,2.0,1.71,1.694,1.71,bbox,0.041,0.168,0.0,0.033,3.2278,4.6855,,,,
51,2.04,2.21,1.71,1.713,pose,0.041,0.168,0.0,0.033,3.2195,4.6912,0.3428,0.2301,0.4026,1.1339
52,2.08,1.712,1.712,1.712,bbox,0.041,0.168,0.0,0.033,3.2126,4.6921,,,,
53,2.12,1.729,1.712,1.729,bbox,0.041,0.168,0.0,0.033,3.198,4.6958,,,,
54,2.16,2.643,1.729,1.729,pose,0.041,0.202,0.0,0.063,3.1798,4.695,0.3391,0.3194,0.4322,1.704
55,2.2,1.729,1.729,1.729,bbox,0.041,0.202,0.0,0.063,3.1706,4.6954,,,,
56,2.24,1.713,1.729,1.713,bbox,0.041,0.235,0.0,0.063,3.1797,4.6959,,,,
57,2.28,1.705,1.729,1.705,bbox,0.041,0.235,0.0,0.063,3.1894,4.696,0.2739,,0.4513,
58,2.32,1.705,1.713,1.705,bbox,0.041,0.235,0.0,0.063,3.1941,4.6971,,,,
59,2.36,1.709,1.709,1.709,bbox,0.041,0.235,0.0,0.063,3.1863,4.6962,,,,
60,2.4,2.364,1.709,1.722,pose,0.041,0.235,0.0,0.063,3.1713,4.6901,0.2842,0.0648,0.4313,1.5121
61,2.44,1.735,1.709,1.735,bbox,0.041,0.235,0.0,0.063,3.1567,4.6894,,,,
62,2.48,1.748,1.735,1.748,bbox,0.041,0.235,0.0,0.063,3.144,4.687,,,,
63,2.52,2.472,1.748,1.745,pose,0.041,0.235,0.0,0.063,3.1387,4.6877,0.3294,0.1736,0.4199,1.6337
64,2.56,1.757,1.757,1.757,bbox,0.041,0.27,0.0,0.063,3.123,4.688,,,,
65,2.6,1.763,1.757,1.763,bbox,0.041,0.27,0.0,0.063,3.1222,4.689,,,,
66,2.64,1.766,1.763,1.766,bbox,0.041,0.27,0.0,0.063,3.114,4.6931,0.3274,,0.4257,
67,2.68,1.744,1.763,1.744,bbox,0.041,0.27,0.0,0.063,3.1169,4.6968,,,,
68,2.72,1.737,1.757,1.737,bbox,0.041,0.27,0.0,0.063,3.1159,4.6981,,,,
69,2.76,2.236,1.763,1.762,pose,0.041,0.27,0.0,0.063,3.1158,4.707,0.3353,0.1605,0.4641,1.1111
70,2.8,1.811,1.766,1.811,bbox,0.041,0.27,0.0,0.063,3.1356,4.7145,,,,
71,2.84,1.855,1.811,1.855,bbox,0.041,0.27,0.0,0.063,3.1275,4.7201,,,,
72,2.88,1.692,1.811,2.017,pose,0.041,0.27,0.0,0.063,3.1573,4.7212,0.3386,0.0093,0.4351,0.5182
73,2.92,2.046,1.855,2.046,bbox,0.041,0.27,0.0,0.063,3.1716,4.7232,,,,
74,2.96,2.04,1.855,2.04,bbox,0.041,0.27,0.0,0.063,3.1944,4.733,,,,
75,3.0,1.922,1.922,2.038,pose,0.041,0.27,0.0,0.094,3.2081,4.7418,0.3358,0.06,0.4193,0.7779
76,3.04,2.006,2.006,2.006,bbox,0.091,0.27,0.0,0.094,3.2312,4.7445,,,,
77,3.08,1.971,2.006,1.971,bbox,0.091,0.27,0.0,0.094,3.2514,4.7503,,,,
78,3.12,1.895,1.971,1.933,pose,0.128,0.27,0.0,0.094,3.2812,4.7588,0.3484,0.0553,0.4775,0.8297
79,3.16,1.929,1.929,1.929,bbox,0.128,0.27,0.0,0.094,3.302,4.767,,,,
80,3.2,1.923,1.929,1.923,bbox,0.178,0.27,0.0,0.13,3.3095,4.7702,,,,
81,3.24,1.852,1.923,1.923,pose,0.178,0.27,0.0,0.13,3.3152,4.7729,0.3498,0.0491,0.4655,0.7674
82,3.28,1.928,1.923,1.928,bbox,0.178,0.27,0.0,0.13,3.3166,4.7704,,,,
83,3.32,1.919,1.923,1.919,bbox,0.212,0.27,0.0,0.13,3.3184,4.7703,,,,
84,3.36,1.849,1.919,1.931,pose,0.212,0.27,0.0,0.13,3.3225,4.7737,0.3308,0.0315,0.4183,0.7948
85,3.4,1.934,1.919,1.934,bbox,0.212,0.27,0.0,0.13,3.3198,4.7726,,,,
86,3.44,1.918,1.919,1.918,bbox,0.212,0.27,0.0,0.13,3.3125,4.7641,,,,
87,3.48,1.892,1.918,1.89,pose,0.212,0.27,0.0,0.13,3.3207,4.7664,0.3344,0.0546,0.445,0.8676
88,3.52,1.863,1.892,1.863,bbox,0.212,0.27,0.0,0.13,3.3272,4.7597,,,,
89,3.56,1.868,1.892,1.868,bbox,0.212,0.27,0.0,0.13,3.3199,4.7597,,,,
90,3.6,1.757,1.868,1.868,pose,0.212,0.27,0.0,0.13,3.317,4.7648,0.3533,0.0241,0.4769,0.7669
91,3.64,1.879,1.868,1.879,bbox,0.212,0.27,0.0,0.13,3.3107,4.7698,,,,
92,3.68,1.907,1.868,1.907,bbox,0.212,0.27,0.0,0.13,3.2935,4.7683,,,,
93,3.72,1.59,1.868,1.936,pose,0.212,0.27,0.0,0.13,3.2835,4.7698,0.3058,0.0234,0.4352,0.0962
94,3.76,1.948,1.879,1.948,bbox,0.212,0.27,0.0,0.13,3.2803,4.7719,,,,
95,3.8,1.969,1.907,1.969,bbox,0.212,0.302,0.0,0.13,3.2652,4.7806,,,,
96,3.84,1.711,1.907,1.973,pose,0.212,0.302,0.0,0.13,3.2585,4.7845,0.3107,0.0241,0.4148,0.3334
97,3.88,1.947,1.947,1.947,bbox,0.212,0.302,0.0,0.13,3.2695,4.7836,,,,
98,3.92,1.932,1.947,1.932,bbox,0.212,0.302,0.0,0.13,3.2662,4.7715,,,,
99,3.96,1.834,1.932,1.92,pose,0.212,0.302,0.0,0.13,3.2664,4.7655,0.3412,0.0223,0.4671,0.5452
100,4.0,1.893,1.893,1.893,bbox,0.212,0.302,0.0,0.13,3.2712,4.7532,,,,
101,4.04,1.891,1.893,1.891,bbox,0.212,0.302,0.0,0.13,3.2754,4.7469,,,,
102,4.08,1.8,1.891,1.911,pose,0.212,0.302,0.0,0.13,3.275,4.7372,0.3469,0.0358,0.4598,0.6315
103,4.12,1.652,1.834,1.652,bbox,0.212,0.302,0.0,0.13,3.2919,4.725,,,,
104,4.16,1.634,1.8,1.634,bbox,0.212,0.302,0.0,0.13,3.2926,4.7194,,,,
105,4.2,1.63,1.652,1.63,bbox,0.212,0.302,0.034,0.13,3.3029,4.7126,0.3272,,0.4136,
106,4.24,1.62,1.634,1.62,bbox,0.212,0.302,0.034,0.13,3.3055,4.7064,,,,
107,4.28,1.595,1.63,1.595,bbox,0.212,0.302,0.034,0.13,3.3093,4.6976,,,,
108,4.32,2.209,1.63,1.586,pose,0.212,0.302,0.034,0.13,3.3094,4.6898,0.3359,0.0398,0.4132,1.3672
109,4.36,1.573,1.62,1.573,bbox,0.212,0.302,0.034,0.13,3.3145,4.682,,,,
110,4.4,1.563,1.595,1.563,bbox,0.212,0.302,0.069,0.13,3.3155,4.6766,,,,
