frame,time_s,distance_raw_m,distance_smooth_m,distance_bbox_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
0,0.0,2.577,2.577,3.483,pose,0.0,0.0,0.0,0.0,1.0884,4.343,1.1951,0.7348,0.7566,0.524
1,0.033,,,,,0.0,0.0,0.0,0.0,,,,,,
2,0.067,3.217,2.897,3.217,bbox,0.0,0.0,0.108,0.0,1.1048,4.1269,,,,
3,0.1,3.08,3.08,3.08,bbox,0.0,0.0,0.216,0.0,1.104,4.0608,0.1113,,0.3176,
4,0.133,3.138,3.109,3.138,bbox,0.0,0.0,0.216,0.0,1.1832,4.0798,,,,
5,0.167,3.133,3.133,3.133,bbox,0.0,0.0,0.216,0.0,1.2407,4.111,,,,
6,0.2,3.172,3.138,3.172,bbox,0.095,0.0,0.216,0.0,1.2759,4.1211,0.7571,,0.5495,
7,0.234,3.21,3.138,3.21,bbox,0.152,0.0,0.216,0.0,1.277,4.1137,,,,
8,0.267,,,,,0.152,0.0,0.216,0.0,,,,,,
9,0.3,5.378,3.172,3.194,pose,0.152,0.0,0.216,0.0,1.2336,4.0543,0.8967,0.0725,0.557,0.1472
10,0.334,3.121,3.172,3.121,bbox,0.152,0.0,0.216,0.0,1.1754,3.995,,,,
11,0.367,,,,,0.152,0.0,0.216,0.0,,,,,,
12,0.4,3.104,3.172,3.104,bbox,0.152,0.0,0.289,0.0,0.9701,3.8345,,0.2845,,0.0732
13,0.434,,,,,0.152,0.0,0.289,0.0,,,,,,
14,0.467,,,,,0.152,0.0,0.289,0.0,,,,,,
15,0.501,,,,,0.152,0.0,0.289,0.0,,,,,,
16,0.534,,,,,0.152,0.0,0.289,0.0,,,,,,
17,0.567,,,,,0.152,0.0,0.289,0.0,,,,,,
18,0.601,,,,,0.152,0.0,0.289,0.0,,,,,,
19,0.634,,,,,0.152,0.0,0.289,0.0,,,,,,
20,0.667,,,,,0.152,0.0,0.289,0.0,,,,,,
21,0.701,,,,,0.152,0.0,0.289,0.0,,,,,,
22,0.734,,,,,0.152,0.0,0.289,0.0,,,,,,
23,0.767,,,,,0.152,0.0,0.289,0.0,,,,,,
24,0.801,,,,,0.152,0.0,0.289,0.0,,,,,,
25,0.834,3.068,3.121,3.068,bbox,0.152,0.0,0.348,0.0,1.3238,3.938,,,,
26,0.868,3.017,3.104,3.017,bbox,0.152,0.0,0.405,0.0,1.3297,3.9154,,,,
27,0.901,2.983,3.068,2.983,bbox,0.2,0.0,0.405,0.0,1.2883,3.8703,0.0947,,1.1432,
28,0.934,3.056,3.056,3.056,bbox,0.2,0.0,0.473,0.0,1.2272,3.8291,,,,
29,0.968,,,,,0.2,0.0,0.473,0.0,,,,,,
30,1.001,3.147,3.056,3.147,bbox,0.2,0.0,0.473,0.0,1.1536,3.8222,,0.0074,,0.0159
31,1.034,,,,,0.2,0.0,0.473,0.0,,,,,,
32,1.068,3.157,3.056,3.157,bbox,0.2,0.0,0.473,0.0,1.3101,4.0361,,,,
33,1.101,2.618,3.056,3.165,pose,0.2,0.0,0.473,0.0,1.4017,4.1419,1.2435,0.0096,0.5772,-0.1627
34,1.134,3.161,3.147,3.161,bbox,0.2,0.0,0.473,0.15,1.4464,4.1825,,,,
35,1.168,3.154,3.154,3.154,bbox,0.313,0.0,0.473,0.256,1.5081,4.248,,,,
36,1.201,3.135,3.154,3.135,bbox,0.358,0.0,0.473,0.296,1.5501,4.2836,,0.0058,,0.4522
37,1.235,3.081,3.135,3.081,bbox,0.42,0.0,0.473,0.362,1.5909,4.2919,,,,
38,1.268,3.093,3.135,3.093,bbox,0.462,0.0,0.473,0.398,1.6198,4.3644,,,,
39,1.301,3.103,3.103,3.103,bbox,0.503,0.0,0.473,0.398,1.6205,4.3769,,,,
40,1.335,3.051,3.093,3.051,bbox,0.503,0.0,0.473,0.433,1.612,4.3189,,,,
41,1.368,3.012,3.081,3.012,bbox,0.503,0.0,0.473,0.433,1.6212,4.2998,,,,
42,1.401,2.132,3.051,2.985,pose,0.503,0.0,0.473,0.433,1.6259,4.2948,1.1525,0.7091,0.6529,0.5125
43,1.435,2.952,3.012,2.952,bbox,0.533,0.0,0.473,0.433,1.6358,4.2709,,,,
44,1.468,2.888,2.952,2.888,bbox,0.533,0.0,0.473,0.433,1.6408,4.2389,,,,
45,1.502,2.872,2.888,2.872,bbox,0.533,0.0,0.521,0.433,1.6312,4.2249,1.0671,,0.7109,
46,1.535,2.888,2.888,2.888,bbox,0.533,0.0,0.553,0.433,1.6002,4.2191,,,,
47,1.568,2.875,2.888,2.875,bbox,0.533,0.0,0.553,0.433,1.5733,4.2053,,,,
48,1.602,2.042,2.875,2.853,pose,0.533,0.0,0.553,0.433,1.5607,4.1948,1.0597,0.776,0.7736,0.5194
49,1.635,2.86,2.872,2.86,bbox,0.533,0.048,0.585,0.433,1.5529,4.2061,,,,
50,1.668,2.818,2.86,2.818,bbox,0.533,0.048,0.585,0.433,1.5537,4.1904,,,,
51,1.702,2.166,2.818,2.814,pose,0.533,0.048,0.585,0.433,1.5602,4.1961,0.9376,0.7563,0.7988,0.584
52,1.735,2.789,2.789,2.789,bbox,0.533,0.048,0.585,0.433,1.5725,4.1857,,,,
