frame,time_s,distance_raw_m,distance_smooth_m,distance_bbox_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
0,0.0,3.573,3.573,3.729,pose,0.0,0.0,0.0,0.0,1.9403,5.5433,0.5881,0.3104,0.871,0.5912
1,0.033,3.736,3.654,3.736,bbox,0.0,0.0,0.0,0.0,1.9322,5.5456,,,,
2,0.067,3.747,3.736,3.747,bbox,0.0,0.0,0.0,0.0,1.9095,5.5425,,,,
3,0.1,3.568,3.654,3.776,pose,0.0,0.0,0.0,0.0,1.8957,5.5498,0.593,0.3188,0.8827,0.5937
4,0.133,3.776,3.736,3.776,bbox,0.0,0.031,0.0,0.0,1.8838,5.5483,,,,
5,0.167,3.801,3.747,3.801,bbox,0.0,0.031,0.0,0.0,1.8709,5.5546,,,,
6,0.2,3.57,3.747,3.813,pose,0.0,0.031,0.0,0.0,1.8611,5.5565,0.5626,0.3194,0.8929,0.5831
7,0.234,3.823,3.776,3.823,bbox,0.0,0.069,0.0,0.0,1.8524,5.5626,,,,
8,0.267,3.841,3.801,3.841,bbox,0.0,0.069,0.0,0.0,1.8487,5.5745,,,,
9,0.3,3.567,3.801,3.854,pose,0.0,0.069,0.0,0.0,1.8439,5.5815,0.5675,0.3163,0.8886,0.5878
10,0.334,3.854,3.823,3.854,bbox,0.0,0.069,0.0,0.031,1.846,5.5835,,,,
11,0.367,3.851,3.841,3.851,bbox,0.0,0.069,0.0,0.031,1.8463,5.5757,,,,
12,0.4,3.551,3.841,3.834,pose,0.0,0.069,0.0,0.031,1.848,5.5662,0.5943,0.3094,0.888,0.5903
13,0.434,3.83,3.83,3.83,bbox,0.0,0.069,0.0,0.031,1.8478,5.5459,,,,
14,0.467,3.812,3.83,3.812,bbox,0.0,0.069,0.0,0.031,1.853,5.5299,,,,
15,0.501,3.505,3.812,3.788,pose,0.0,0.069,0.0,0.031,1.8574,5.5171,0.6479,0.3028,0.8987,0.5856
16,0.534,3.756,3.756,3.756,bbox,0.0,0.069,0.045,0.031,1.8718,5.5083,,,,
17,0.567,3.758,3.758,3.758,bbox,0.0,0.069,0.045,0.031,1.8844,5.5081,,,,
18,0.601,3.5,3.756,3.718,pose,0.0,0.069,0.045,0.031,1.9164,5.4993,0.6592,0.3078,0.8796,0.5781
19,0.634,3.676,3.676,3.676,bbox,0.0,0.069,0.045,0.031,1.936,5.4876,,,,
20,0.667,3.669,3.676,3.669,bbox,0.046,0.069,0.075,0.031,1.9465,5.4808,,,,
21,0.701,3.471,3.669,3.644,pose,0.046,0.069,0.075,0.031,1.9574,5.475,0.6637,0.3051,0.8901,0.5759
22,0.734,3.651,3.651,3.651,bbox,0.076,0.069,0.075,0.031,1.9751,5.4672,,,,
23,0.767,3.647,3.651,3.647,bbox,0.076,0.069,0.075,0.031,1.9876,5.4646,,,,
24,0.801,3.525,3.647,3.653,pose,0.076,0.069,0.105,0.031,1.9952,5.4692,0.6592,0.3109,0.8775,0.5745
25,0.834,3.64,3.64,3.64,bbox,0.117,0.069,0.105,0.031,2.0171,5.4653,,,,
26,0.868,3.63,3.64,3.63,bbox,0.117,0.069,0.105,0.031,2.0285,5.4632,,,,
27,0.901,3.541,3.63,3.632,pose,0.117,0.069,0.105,0.031,2.0342,5.4634,0.6254,0.2655,0.8741,0.5565
28,0.934,3.608,3.608,3.608,bbox,0.158,0.069,0.105,0.031,2.0428,5.4615,,,,
29,0.968,3.581,3.608,3.581,bbox,0.158,0.069,0.105,0.031,2.0615,5.4622,,,,
30,1.001,3.528,3.581,3.549,pose,0.158,0.069,0.105,0.031,2.0855,5.4581,0.5853,0.2052,0.8891,0.5735
31,1.034,3.521,3.541,3.521,bbox,0.191,0.069,0.105,0.031,2.1036,5.4576,,,,
32,1.068,3.486,3.528,3.486,bbox,0.191,0.069,0.105,0.031,2.1178,5.4616,,,,
33,1.101,3.478,3.521,3.462,pose,0.233,0.069,0.105,0.031,2.1424,5.4697,0.4833,0.1731,0.8726,0.6044
34,1.134,3.446,3.486,3.446,bbox,0.233,0.069,0.105,0.031,2.1741,5.4814,,,,
35,1.168,3.408,3.478,3.408,bbox,0.272,0.069,0.105,0.031,2.2286,5.494,,,,
36,1.201,3.494,3.478,3.346,pose,0.303,0.069,0.105,0.031,2.2908,5.4977,0.3664,0.1502,0.8692,0.5994
37,1.235,3.305,3.446,3.305,bbox,0.358,0.069,0.105,0.031,2.3214,5.5008,,,,
38,1.268,3.288,3.408,3.288,bbox,0.42,0.069,0.105,0.031,2.346,5.5136,,,,
39,1.301,3.452,3.408,3.269,pose,0.451,0.069,0.105,0.063,2.3619,5.5178,0.2585,0.1468,0.8791,0.6063
40,1.335,3.262,3.305,3.262,bbox,0.451,0.069,0.105,0.063,2.3786,5.5285,,,,
41,1.368,3.271,3.288,3.271,bbox,0.491,0.069,0.105,0.063,2.3785,5.5349,,,,
42,1.401,3.488,3.288,3.275,pose,0.491,0.069,0.105,0.063,2.3841,5.544,0.2132,0.1459,0.8727,0.6066
43,1.435,3.272,3.272,3.272,bbox,0.491,0.069,0.105,0.097,2.3938,5.5531,,,,
44,1.468,3.284,3.272,3.284,bbox,0.491,0.069,0.105,0.097,2.3979,5.5617,,,,
45,1.502,3.41,3.284,3.287,pose,0.523,0.069,0.105,0.097,2.4091,5.5709,0.2672,0.1873,0.85,0.5895
46,1.535,3.291,3.291,3.291,bbox,0.523,0.069,0.105,0.097,2.4157,5.5708,,,,
47,1.568,3.283,3.284,3.283,bbox,0.523,0.069,0.105,0.131,2.4314,5.5694,,,,
48,1.602,3.163,3.284,3.263,pose,0.523,0.069,0.105,0.131,2.4406,5.5639,0.4022,0.3004,0.8368,0.5943
49,1.635,3.24,3.283,3.24,bbox,0.561,0.069,0.105,0.131,2.4607,5.5643,,,,
50,1.668,3.22,3.24,3.22,bbox,0.561,0.069,0.105,0.131,2.4613,5.5478,,,,
51,1.702,2.78,3.22,3.201,pose,0.561,0.069,0.105,0.131,2.4711,5.5315,0.6068,0.4614,0.8358,0.5548
52,1.735,3.187,3.187,3.187,bbox,0.561,0.069,0.105,0.131,2.4805,5.5163,,,,
53,1.768,3.181,3.187,3.181,bbox,0.6,0.069,0.143,0.131,2.4727,5.4956,,,,
54,1.802,2.515,3.181,3.16,pose,0.6,0.069,0.143,0.131,2.4877,5.4807,0.7949,0.5247,0.8101,0.5571
55,1.835,3.082,3.082,3.082,bbox,0.6,0.069,0.179,0.131,2.5409,5.4583,,,,
56,1.869,3.042,3.082,3.042,bbox,0.6,0.069,0.179,0.131,2.574,5.4397,,,,
57,1.902,2.439,3.042,3.003,pose,0.67,0.069,0.216,0.131,2.5967,5.408,0.8269,0.5258,0.7829,0.5623
58,1.935,2.999,2.999,2.999,bbox,0.703,0.069,0.216,0.131,2.6246,5.3888,,,,
59,1.969,2.982,2.999,2.982,bbox,0.703,0.069,0.267,0.131,2.6554,5.3737,,,,
60,2.002,2.427,2.982,2.917,pose,0.754,0.069,0.267,0.131,2.6895,5.3446,0.8205,0.5714,0.7368,0.4898
61,2.035,2.86,2.86,2.86,bbox,0.785,0.069,0.301,0.131,2.7247,5.3194,,,,
62,2.069,2.811,2.86,2.811,bbox,0.819,0.069,0.301,0.131,2.7506,5.2945,,,,
63,2.102,2.154,2.811,2.729,pose,0.854,0.069,0.355,0.131,2.795,5.2575,0.6637,0.7793,0.7684,0.5013
64,2.135,2.606,2.606,2.606,bbox,0.854,0.069,0.355,0.131,2.8469,5.2055,,,,
65,2.169,2.515,2.606,2.515,bbox,0.924,0.069,0.417,0.131,2.8959,5.1549,,,,
66,2.202,2.073,2.515,2.412,pose,0.976,0.069,0.469,0.131,2.9253,5.1104,0.5322,0.6569,0.7992,0.5061
67,2.236,2.347,2.347,2.347,bbox,1.025,0.069,0.52,0.131,2.9605,5.0864,,,,
68,2.269,2.298,2.347,2.298,bbox,1.025,0.069,0.564,0.131,2.9768,5.0719,,,,
69,2.302,1.948,2.298,2.277,pose,1.09,0.069,0.564,0.131,2.9905,5.0614,0.6239,0.5943,0.7837,0.5395
70,2.336,2.282,2.282,2.282,bbox,1.09,0.069,0.603,0.131,2.9998,5.0711,,,,
71,2.369,2.305,2.298,2.305,bbox,1.12,0.069,0.603,0.131,3.0114,5.0859,,,,
72,2.402,1.96,2.282,2.334,pose,1.12,0.069,0.603,0.131,3.0108,5.1076,0.6516,0.6584,0.7286,0.5515
