frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m
0,0.0,4.322,4.322,pose,0.0,0.0,0.0,0.0,1.8777,7.4343
1,0.034,4.742,4.532,bbox,0.0,0.0,0.0,0.0,1.8778,7.4346
2,0.069,4.766,4.742,bbox,0.0,0.0,0.0,0.0,1.8601,7.4363
3,0.103,4.162,4.532,pose,0.0,0.0,0.0,0.0,1.8596,7.4267
4,0.137,4.742,4.742,bbox,0.0,0.0,0.0,0.0,1.861,7.3746
5,0.172,4.762,4.742,bbox,0.0,0.0,0.0,0.0,1.8611,7.3963
6,0.206,4.153,4.742,pose,0.0,0.0,0.038,0.0,1.8594,7.3658
7,0.24,4.726,4.726,bbox,0.0,0.0,0.038,0.0,1.8654,7.3161
8,0.275,4.732,4.732,bbox,0.0,0.0,0.068,0.0,1.8793,7.3243
9,0.309,4.177,4.726,pose,0.0,0.0,0.11,0.0,1.8896,7.2727
10,0.343,4.677,4.677,bbox,0.0,0.0,0.11,0.0,1.8919,7.2165
11,0.377,4.619,4.677,bbox,0.0,0.0,0.162,0.0,1.898,7.1676
12,0.412,4.459,4.619,pose,0.0,0.0,0.218,0.0,1.9011,7.1604
13,0.446,4.564,4.564,bbox,0.0,0.0,0.267,0.0,1.8938,7.1317
14,0.48,4.615,4.615,bbox,0.0,0.0,0.267,0.0,1.8867,7.1141
15,0.515,4.47,4.564,pose,0.0,0.0,0.303,0.0,1.8704,7.0969
16,0.549,4.693,4.564,bbox,0.0,0.0,0.303,0.0,1.8449,7.0809
17,0.583,4.754,4.615,bbox,0.0,0.0,0.337,0.0,1.8211,7.0822
18,0.618,4.066,4.615,pose,0.0,0.033,0.337,0.0,1.798,7.0001
19,0.652,4.675,4.675,bbox,0.0,0.033,0.337,0.0,1.7782,6.9187
20,0.686,4.611,4.675,bbox,0.0,0.08,0.434,0.0,1.77,6.8646
21,0.721,4.064,4.611,pose,0.0,0.08,0.516,0.0,1.7839,6.8365
22,0.755,4.616,4.611,bbox,0.0,0.08,0.57,0.0,1.7604,6.8121
23,0.789,4.586,4.611,bbox,0.0,0.08,0.57,0.0,1.7553,6.8182
24,0.824,4.071,4.586,pose,0.0,0.117,0.616,0.0,1.7537,6.8062
25,0.858,4.55,4.55,bbox,0.0,0.117,0.616,0.0,1.7506,6.7919
26,0.892,4.534,4.55,bbox,0.0,0.117,0.616,0.0,1.7402,6.8016
27,0.927,4.031,4.534,pose,0.0,0.117,0.616,0.0,1.7224,6.8065
28,0.961,4.558,4.534,bbox,0.0,0.117,0.616,0.0,1.7212,6.8202
29,0.995,4.591,4.55,bbox,0.0,0.155,0.616,0.0,1.7158,6.8382
30,1.03,3.999,4.534,pose,0.0,0.155,0.616,0.0,1.7042,6.8466
31,1.064,4.55,4.55,bbox,0.0,0.155,0.616,0.0,1.7074,6.8568
32,1.098,4.529,4.55,bbox,0.0,0.155,0.616,0.0,1.7145,6.8655
33,1.132,3.983,4.529,pose,0.0,0.155,0.616,0.039,1.6982,6.9109
34,1.167,4.583,4.529,bbox,0.0,0.155,0.616,0.039,1.686,6.8819
35,1.201,4.549,4.549,bbox,0.0,0.155,0.616,0.039,1.6907,6.8709
36,1.235,3.955,4.529,pose,0.0,0.155,0.616,0.039,1.7001,6.8704
37,1.27,4.52,4.52,bbox,0.0,0.155,0.616,0.039,1.6994,6.8749
38,1.304,4.531,4.531,bbox,0.0,0.155,0.616,0.039,1.7036,6.8836
39,1.338,3.916,4.52,pose,0.0,0.155,0.616,0.039,1.706,6.8754
40,1.373,4.487,4.487,bbox,0.0,0.155,0.616,0.039,1.7045,6.8721
41,1.407,4.459,4.487,bbox,0.0,0.155,0.616,0.039,1.7153,6.8623
42,1.441,3.901,4.459,pose,0.0,0.155,0.616,0.039,1.7191,6.8691
43,1.476,4.453,4.453,bbox,0.0,0.155,0.616,0.039,1.7334,6.8642
44,1.51,4.425,4.453,bbox,0.0,0.155,0.616,0.039,1.7518,6.8445
45,1.544,3.896,4.425,pose,0.0,0.155,0.616,0.039,1.7447,6.8074
46,1.579,4.396,4.396,bbox,0.0,0.155,0.616,0.039,1.7516,6.7952
47,1.613,4.387,4.396,bbox,0.0,0.155,0.665,0.039,1.7542,6.7974
48,1.647,3.89,4.387,pose,0.0,0.155,0.665,0.039,1.7567,6.8018
49,1.682,4.342,4.342,bbox,0.032,0.155,0.665,0.039,1.776,6.8018
50,1.716,4.328,4.342,bbox,0.032,0.155,0.665,0.039,1.7948,6.8034
51,1.75,3.896,4.328,pose,0.032,0.155,0.665,0.039,1.7866,6.8031
52,1.784,4.376,4.328,bbox,0.032,0.155,0.665,0.039,1.7711,6.7973
53,1.819,4.407,4.342,bbox,0.032,0.155,0.665,0.039,1.7627,6.8132
54,1.853,3.942,4.328,pose,0.032,0.155,0.665,0.039,1.7674,6.8334
55,1.887,4.448,4.376,bbox,0.032,0.155,0.665,0.039,1.7465,6.8302
56,1.922,4.478,4.407,bbox,0.032,0.155,0.665,0.039,1.7289,6.8265
57,1.956,3.961,4.407,pose,0.032,0.155,0.665,0.039,1.7178,6.8499
58,1.99,4.532,4.448,bbox,0.032,0.155,0.665,0.039,1.7098,6.8732
59,2.025,4.569,4.478,bbox,0.032,0.192,0.665,0.081,1.7117,6.9177
60,2.059,3.931,4.478,pose,0.032,0.192,0.665,0.081,1.718,6.9028
61,2.093,4.481,4.481,bbox,0.032,0.192,0.665,0.128,1.7353,6.8972
62,2.128,4.42,4.481,bbox,0.032,0.192,0.665,0.128,1.7685,6.8717
63,2.162,3.9,4.42,pose,0.032,0.192,0.665,0.128,1.8299,6.8524
64,2.196,4.316,4.316,bbox,0.083,0.192,0.665,0.128,1.8723,6.8404
65,2.231,4.278,4.316,bbox,0.144,0.192,0.71,0.128,1.9102,6.8246
66,2.265,4.192,4.278,bbox,0.186,0.192,0.71,0.128,1.9752,6.8152
67,2.299,4.126,4.192,bbox,0.224,0.192,0.71,0.128,2.0373,6.8066
68,2.334,4.048,4.192,bbox,0.289,0.192,0.747,0.128,2.0966,6.7937
69,2.368,3.86,4.126,pose,0.351,0.192,0.747,0.128,2.1363,6.7878
70,2.402,3.949,4.048,bbox,0.411,0.192,0.747,0.128,2.1705,6.7812
71,2.437,3.925,3.949,bbox,0.45,0.192,0.747,0.128,2.1865,6.7734
72,2.471,3.668,3.925,pose,0.485,0.192,0.781,0.128,2.1911,6.7653
73,2.505,3.863,3.863,bbox,0.485,0.192,0.781,0.128,2.2078,6.7553
74,2.539,3.864,3.864,bbox,0.485,0.192,0.781,0.128,2.2172,6.7488
75,2.574,3.501,3.863,pose,0.522,0.192,0.781,0.128,2.2115,6.7411
76,2.608,3.832,3.832,bbox,0.522,0.192,0.814,0.128,2.2066,6.7042
77,2.642,3.923,3.863,bbox,0.522,0.192,0.814,0.128,2.1324,6.699
78,2.677,3.42,3.832,pose,0.522,0.192,0.858,0.128,2.0948,6.674
79,2.711,3.867,3.832,bbox,0.522,0.264,0.858,0.128,2.1355,6.6536
80,2.745,,,,0.522,0.264,0.858,0.128,,
81,2.78,3.391,3.832,pose,0.522,0.264,0.889,0.128,2.2186,6.5994
82,2.814,3.693,3.693,bbox,0.522,0.264,0.889,0.128,2.3274,6.5634
83,2.848,3.636,3.636,bbox,0.605,0.264,0.963,0.128,2.3951,6.5387
84,2.883,3.625,3.636,bbox,0.714,0.264,0.999,0.128,2.4097,6.5324
85,2.917,3.708,3.636,bbox,0.777,0.264,0.999,0.128,2.3908,6.5272
86,2.951,3.65,3.65,bbox,0.777,0.264,1.03,0.128,2.4509,6.5141
87,2.986,3.622,3.636,bbox,0.777,0.264,1.03,0.128,2.4708,6.5102
88,3.02,3.578,3.625,bbox,0.837,0.264,1.03,0.128,2.4935,6.5035
89,3.054,3.538,3.622,bbox,0.837,0.264,1.03,0.128,2.5121,6.4861
90,3.089,2.564,3.578,pose,0.88,0.264,1.03,0.128,2.6295,6.4541
91,3.123,3.254,3.538,bbox,0.88,0.264,1.077,0.128,2.719,6.406
92,3.157,3.157,3.254,bbox,1.016,0.264,1.108,0.128,2.7397,6.3057
93,3.191,2.392,3.157,pose,1.105,0.264,1.157,0.128,2.7784,6.2156
94,3.226,3.014,3.014,bbox,1.105,0.264,1.257,0.128,2.8012,6.1605
95,3.26,3.006,3.014,bbox,1.165,0.264,1.347,0.128,2.7906,6.1055
96,3.294,2.294,3.006,pose,1.165,0.264,1.402,0.128,2.8095,6.0701
97,3.329,2.918,2.918,bbox,1.165,0.264,1.457,0.128,2.8338,6.0432
98,3.363,2.927,2.927,bbox,1.196,0.264,1.492,0.128,2.8511,6.0314
99,3.397,2.341,2.918,pose,1.196,0.264,1.492,0.128,2.8515,6.0562
100,3.432,2.926,2.918,bbox,1.234,0.264,1.492,0.128,2.8475,6.0564
101,3.466,2.966,2.926,bbox,1.234,0.264,1.492,0.128,2.8075,6.0768
102,3.5,2.326,2.926,pose,1.234,0.264,1.492,0.128,2.7933,6.0502
