frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
0,0.0,4.322,4.322,pose,0.0,0.0,0.0,0.0,1.8777,7.4343,0.4184,0.6005,0.7636,0.8622
1,0.034,4.333,4.327,pose,0.0,0.0,0.0,0.0,1.8778,7.4346,0.4151,0.6473,0.7626,0.8742
2,0.069,4.652,4.333,pose,0.0,0.0,0.0,0.0,1.8601,7.4363,0.4229,0.115,0.7494,0.4702
3,0.103,4.162,4.327,pose,0.0,0.0,0.0,0.0,1.8596,7.4267,0.4382,1.0718,0.747,0.9234
4,0.137,4.129,4.322,pose,0.0,0.0,0.0,0.0,1.861,7.3746,0.4423,1.1428,0.7534,0.937
5,0.172,4.149,4.162,pose,0.0,0.0,0.0,0.0,1.8611,7.3963,0.4433,1.0502,0.7449,0.881
6,0.206,4.153,4.153,pose,0.0,0.0,0.038,0.0,1.8594,7.3658,0.4428,1.0217,0.7337,0.8241
7,0.24,4.065,4.149,pose,0.0,0.0,0.038,0.0,1.8654,7.3161,0.4443,1.2055,0.7414,0.905
8,0.275,4.099,4.129,pose,0.0,0.0,0.068,0.0,1.8793,7.3243,0.4454,1.1713,0.7364,0.8831
9,0.309,4.177,4.149,pose,0.0,0.0,0.11,0.0,1.8896,7.2727,0.4304,1.088,0.7245,0.8488
10,0.343,4.034,4.099,pose,0.0,0.0,0.11,0.0,1.8919,7.2165,0.43,1.3038,0.7285,0.8754
11,0.377,4.365,4.099,pose,0.0,0.0,0.162,0.0,1.898,7.1676,0.4178,0.1025,0.7391,-0.1488
12,0.412,4.459,4.177,pose,0.0,0.0,0.218,0.0,1.9011,7.1604,0.4168,0.0692,0.7309,-0.2501
13,0.446,4.518,4.365,pose,0.0,0.0,0.267,0.0,1.8938,7.1317,0.4187,0.009,0.7169,-0.3104
14,0.48,4.089,4.365,pose,0.0,0.0,0.267,0.0,1.8867,7.1141,0.4598,0.0881,0.7313,0.1595
15,0.515,4.47,4.459,pose,0.0,0.0,0.303,0.0,1.8704,7.0969,0.4713,0.0115,0.7227,-0.2128
16,0.549,4.02,4.459,pose,0.0,0.0,0.303,0.0,1.8449,7.0809,0.5137,1.3099,0.7074,0.8641
17,0.583,4.06,4.089,pose,0.0,0.0,0.337,0.0,1.8211,7.0822,0.5424,1.2548,0.6945,0.8952
18,0.618,4.066,4.066,pose,0.0,0.033,0.337,0.0,1.798,7.0001,0.584,1.1418,0.6695,0.8794
19,0.652,4.09,4.066,pose,0.0,0.033,0.337,0.0,1.7782,6.9187,0.6185,1.1214,0.6586,0.9063
20,0.686,4.063,4.063,pose,0.0,0.08,0.434,0.0,1.77,6.8646,0.6557,1.0914,0.6663,0.9192
21,0.721,4.064,4.064,pose,0.0,0.08,0.516,0.0,1.7839,6.8365,0.6737,1.0457,0.6601,0.9465
22,0.755,4.102,4.066,pose,0.0,0.08,0.57,0.0,1.7604,6.8121,0.6696,1.0073,0.6487,0.9407
23,0.789,4.063,4.064,pose,0.0,0.08,0.57,0.0,1.7553,6.8182,0.6882,1.0027,0.6373,0.9707
24,0.824,4.071,4.064,pose,0.0,0.117,0.616,0.0,1.7537,6.8062,0.6826,0.9795,0.6356,0.9754
25,0.858,4.031,4.064,pose,0.0,0.117,0.616,0.0,1.7506,6.7919,0.6816,0.9805,0.627,0.9665
26,0.892,4.02,4.063,pose,0.0,0.117,0.616,0.0,1.7402,6.8016,0.6808,0.9454,0.6314,0.9939
27,0.927,4.031,4.031,pose,0.0,0.117,0.616,0.0,1.7224,6.8065,0.6785,0.9505,0.6487,0.9805
28,0.961,4.019,4.031,pose,0.0,0.117,0.616,0.0,1.7212,6.8202,0.6841,0.9342,0.6579,0.989
29,0.995,4.045,4.031,pose,0.0,0.155,0.616,0.0,1.7158,6.8382,0.6753,0.9437,0.6769,0.9831
30,1.03,3.999,4.02,pose,0.0,0.155,0.616,0.0,1.7042,6.8466,0.6907,0.9581,0.6863,0.9862
31,1.064,3.977,4.019,pose,0.0,0.155,0.616,0.0,1.7074,6.8568,0.6859,0.9571,0.6892,0.9793
32,1.098,3.962,3.999,pose,0.0,0.155,0.616,0.0,1.7145,6.8655,0.6911,0.9758,0.7034,0.9989
33,1.132,3.983,3.983,pose,0.0,0.155,0.616,0.039,1.6982,6.9109,0.6893,0.962,0.6925,1.0063
34,1.167,3.974,3.977,pose,0.0,0.155,0.616,0.039,1.686,6.8819,0.6967,0.9706,0.6944,1.0003
35,1.201,3.955,3.974,pose,0.0,0.155,0.616,0.039,1.6907,6.8709,0.6905,0.9724,0.6798,0.9904
36,1.235,3.955,3.962,pose,0.0,0.155,0.616,0.039,1.7001,6.8704,0.6961,0.9606,0.6861,0.974
37,1.27,3.947,3.955,pose,0.0,0.155,0.616,0.039,1.6994,6.8749,0.6858,0.971,0.6727,0.9889
38,1.304,3.942,3.955,pose,0.0,0.155,0.616,0.039,1.7036,6.8836,0.6852,0.9628,0.6736,0.9717
39,1.338,3.916,3.947,pose,0.0,0.155,0.616,0.039,1.706,6.8754,0.6926,0.9934,0.6878,0.9757
40,1.373,3.907,3.942,pose,0.0,0.155,0.616,0.039,1.7045,6.8721,0.6789,0.9777,0.6925,0.9767
41,1.407,3.895,3.916,pose,0.0,0.155,0.616,0.039,1.7153,6.8623,0.6785,0.9891,0.7068,0.986
42,1.441,3.901,3.907,pose,0.0,0.155,0.616,0.039,1.7191,6.8691,0.6794,1.0124,0.7077,0.9973
43,1.476,3.888,3.901,pose,0.0,0.155,0.616,0.039,1.7334,6.8642,0.6821,0.9985,0.706,0.9801
44,1.51,3.893,3.895,pose,0.0,0.155,0.616,0.039,1.7518,6.8445,0.679,0.9944,0.705,0.9747
45,1.544,3.896,3.895,pose,0.0,0.155,0.616,0.039,1.7447,6.8074,0.6756,0.9863,0.6987,0.9666
46,1.579,3.91,3.896,pose,0.0,0.155,0.616,0.039,1.7516,6.7952,0.6712,0.9737,0.6971,0.983
47,1.613,3.905,3.896,pose,0.0,0.155,0.665,0.039,1.7542,6.7974,0.6714,0.9764,0.6984,0.9774
48,1.647,3.89,3.896,pose,0.0,0.155,0.665,0.039,1.7567,6.8018,0.6665,1.0015,0.7071,0.9935
49,1.682,3.88,3.896,pose,0.032,0.155,0.665,0.039,1.776,6.8018,0.6747,0.9627,0.7209,0.9849
50,1.716,3.896,3.896,pose,0.032,0.155,0.665,0.039,1.7948,6.8034,0.6719,0.9785,0.7114,0.9982
51,1.75,3.896,3.896,pose,0.032,0.155,0.665,0.039,1.7866,6.8031,0.6782,0.9627,0.7182,0.9913
52,1.784,3.911,3.896,pose,0.032,0.155,0.665,0.039,1.7711,6.7973,0.6585,0.9716,0.7339,0.9915
53,1.819,3.922,3.896,pose,0.032,0.155,0.665,0.039,1.7627,6.8132,0.675,0.935,0.7219,0.9877
54,1.853,3.942,3.911,pose,0.032,0.155,0.665,0.039,1.7674,6.8334,0.6578,0.9216,0.7115,0.9995
55,1.887,3.941,3.922,pose,0.032,0.155,0.665,0.039,1.7465,6.8302,0.6645,0.9135,0.6872,0.9713
56,1.922,3.955,3.941,pose,0.032,0.155,0.665,0.039,1.7289,6.8265,0.6585,0.9325,0.6832,0.9626
57,1.956,3.961,3.942,pose,0.032,0.155,0.665,0.039,1.7178,6.8499,0.6677,0.9409,0.6814,0.9615
58,1.99,3.936,3.942,pose,0.032,0.155,0.665,0.039,1.7098,6.8732,0.6717,0.9466,0.6908,0.9592
59,2.025,3.957,3.955,pose,0.032,0.192,0.665,0.081,1.7117,6.9177,0.6766,0.9258,0.6848,0.974
60,2.059,3.931,3.955,pose,0.032,0.192,0.665,0.081,1.718,6.9028,0.6692,0.9357,0.6969,0.988
61,2.093,3.896,3.936,pose,0.032,0.192,0.665,0.128,1.7353,6.8972,0.6388,0.9305,0.6866,0.9796
62,2.128,3.88,3.931,pose,0.032,0.192,0.665,0.128,1.7685,6.8717,0.6117,0.9306,0.6758,0.9932
63,2.162,3.9,3.9,pose,0.032,0.192,0.665,0.128,1.8299,6.8524,0.5334,0.9288,0.6664,1.0109
64,2.196,3.889,3.896,pose,0.083,0.192,0.665,0.128,1.8723,6.8404,0.4872,0.9293,0.6791,0.999
65,2.231,3.901,3.896,pose,0.144,0.192,0.71,0.128,1.9102,6.8246,0.417,0.9279,0.701,1.0079
66,2.265,4.192,3.9,bbox,0.186,0.192,0.71,0.128,1.9752,6.8152,,0.936,,0.9744
67,2.299,4.126,3.901,bbox,0.224,0.192,0.71,0.128,2.0373,6.8066,,0.9561,,0.9856
68,2.334,3.877,3.901,pose,0.289,0.192,0.747,0.128,2.0966,6.7937,0.1693,0.9457,0.6373,0.9698
69,2.368,3.86,3.901,pose,0.351,0.192,0.747,0.128,2.1363,6.7878,0.1346,0.9304,0.6343,0.9588
70,2.402,3.809,3.877,pose,0.411,0.192,0.747,0.128,2.1705,6.7812,0.0205,0.9435,0.7249,0.9547
71,2.437,3.801,3.86,pose,0.45,0.192,0.747,0.128,2.1865,6.7734,0.0202,0.9424,0.6753,0.9559
72,2.471,3.668,3.809,pose,0.485,0.192,0.781,0.128,2.1911,6.7653,0.1435,0.9538,0.7606,0.946
73,2.505,3.575,3.801,pose,0.485,0.192,0.781,0.128,2.2078,6.7553,0.2698,0.915,0.7352,0.9448
74,2.539,3.514,3.668,pose,0.485,0.192,0.781,0.128,2.2172,6.7488,0.3558,0.9396,0.7363,0.9561
75,2.574,3.501,3.575,pose,0.522,0.192,0.781,0.128,2.2115,6.7411,0.392,0.9303,0.7306,0.9779
76,2.608,3.456,3.514,pose,0.522,0.192,0.814,0.128,2.2066,6.7042,0.427,0.918,0.7331,0.9843
77,2.642,3.466,3.501,pose,0.522,0.192,0.814,0.128,2.1324,6.699,0.4346,0.9359,0.7258,0.9971
78,2.677,3.42,3.466,pose,0.522,0.192,0.858,0.128,2.0948,6.674,0.4258,0.9338,0.7364,0.9722
79,2.711,3.403,3.456,pose,0.522,0.264,0.858,0.128,2.1355,6.6536,0.409,0.9424,0.7253,0.9695
80,2.745,,,,0.522,0.264,0.858,0.128,,,,,,
81,2.78,3.391,3.42,pose,0.522,0.264,0.889,0.128,2.2186,6.5994,0.3397,1.0556,0.6837,0.9217
82,2.814,3.327,3.403,pose,0.522,0.264,0.889,0.128,2.3274,6.5634,0.1538,1.1108,0.7235,0.8954
83,2.848,3.184,3.391,pose,0.605,0.264,0.963,0.128,2.3951,6.5387,0.0063,1.1815,0.6153,0.8606
84,2.883,3.625,3.391,bbox,0.714,0.264,0.999,0.128,2.4097,6.5324,,1.2194,,0.8303
85,2.917,3.708,3.391,bbox,0.777,0.264,0.999,0.128,2.3908,6.5272,,1.2339,,0.8449
86,2.951,3.143,3.327,pose,0.777,0.264,1.03,0.128,2.4509,6.5141,0.1806,1.236,0.7059,0.8226
87,2.986,3.622,3.622,bbox,0.777,0.264,1.03,0.128,2.4708,6.5102,,1.2427,,0.846
88,3.02,3.578,3.622,bbox,0.837,0.264,1.03,0.128,2.4935,6.5035,,1.205,,0.8524
89,3.054,3.071,3.578,pose,0.837,0.264,1.03,0.128,2.5121,6.4861,0.16,1.2109,0.6392,0.8632
90,3.089,2.564,3.143,pose,0.88,0.264,1.03,0.128,2.6295,6.4541,0.748,1.1501,0.6389,0.9
91,3.123,3.254,3.254,bbox,0.88,0.264,1.077,0.128,2.719,6.406,,1.1057,,0.9159
92,3.157,2.459,3.071,pose,1.016,0.264,1.108,0.128,2.7397,6.3057,0.8787,1.1289,0.604,0.897
93,3.191,2.392,2.564,pose,1.105,0.264,1.157,0.128,2.7784,6.2156,0.914,1.0484,0.6063,0.9311
94,3.226,2.371,2.459,pose,1.105,0.264,1.257,0.128,2.8012,6.1605,0.952,1.0198,0.5766,0.9114
95,3.26,2.345,2.392,pose,1.165,0.264,1.347,0.128,2.7906,6.1055,0.9585,0.982,0.5381,0.8985
96,3.294,2.294,2.371,pose,1.165,0.264,1.402,0.128,2.8095,6.0701,0.9795,0.9999,0.5351,0.9327
97,3.329,2.31,2.345,pose,1.165,0.264,1.457,0.128,2.8338,6.0432,0.951,0.9497,0.5456,0.8988
98,3.363,2.347,2.345,pose,1.196,0.264,1.492,0.128,2.8511,6.0314,0.9384,0.9406,0.5363,0.8755
99,3.397,2.341,2.341,pose,1.196,0.264,1.492,0.128,2.8515,6.0562,0.944,0.9969,0.565,0.8694
100,3.432,2.314,2.314,pose,1.234,0.264,1.492,0.128,2.8475,6.0564,0.937,1.0211,0.5805,0.8722
101,3.466,2.333,2.333,pose,1.234,0.264,1.492,0.128,2.8075,6.0768,0.9153,0.9732,0.6079,0.8785
102,3.5,2.326,2.333,pose,1.234,0.264,1.492,0.128,2.7933,6.0502,0.9121,0.9689,0.6313,0.9124
103,3.535,2.317,2.326,pose,1.234,0.304,1.492,0.128,2.7824,6.0817,0.9144,0.9886,0.6571,0.9302
