frame,time_s,distance_raw_m,distance_smooth_m,distance_bbox_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
0,0.0,4.322,4.322,4.742,pose,0.0,0.0,0.0,0.0,1.8777,7.4343,0.4184,0.6005,0.7636,0.8622
1,0.034,4.742,4.532,4.742,bbox,0.0,0.0,0.0,0.0,1.8778,7.4346,,,,
2,0.069,4.766,4.742,4.766,bbox,0.0,0.0,0.0,0.0,1.8601,7.4363,,,,
3,0.103,4.162,4.532,4.768,pose,0.0,0.0,0.0,0.0,1.8596,7.4267,0.4382,1.0718,0.747,0.9234
4,0.137,4.742,4.742,4.742,bbox,0.0,0.0,0.0,0.0,1.861,7.3746,,,,
5,0.172,4.762,4.742,4.762,bbox,0.0,0.0,0.0,0.0,1.8611,7.3963,,,,
6,0.206,4.153,4.742,4.779,pose,0.0,0.0,0.038,0.0,1.8594,7.3658,0.4428,1.0217,0.7337,0.8241
7,0.24,4.726,4.726,4.726,bbox,0.0,0.0,0.038,0.0,1.8654,7.3161,,,,
8,0.275,4.732,4.732,4.732,bbox,0.0,0.0,0.068,0.0,1.8793,7.3243,,,,
9,0.309,4.177,4.726,4.696,pose,0.0,0.0,0.11,0.0,1.8896,7.2727,0.4304,1.088,0.7245,0.8488
10,0.343,4.677,4.677,4.677,bbox,0.0,0.0,0.11,0.0,1.8919,7.2165,,,,
11,0.377,4.619,4.677,4.619,bbox,0.0,0.0,0.162,0.0,1.898,7.1676,,,,
12,0.412,4.459,4.619,4.629,pose,0.0,0.0,0.218,0.0,1.9011,7.1604,0.4168,0.0692,0.7309,-0.2501
13,0.446,4.564,4.564,4.564,bbox,0.0,0.0,0.267,0.0,1.8938,7.1317,,,,
14,0.48,4.615,4.615,4.615,bbox,0.0,0.0,0.267,0.0,1.8867,7.1141,,,,
15,0.515,4.47,4.564,4.6,pose,0.0,0.0,0.303,0.0,1.8704,7.0969,0.4713,0.0115,0.7227,-0.2128
16,0.549,4.693,4.564,4.693,bbox,0.0,0.0,0.303,0.0,1.8449,7.0809,,,,
17,0.583,4.754,4.615,4.754,bbox,0.0,0.0,0.337,0.0,1.8211,7.0822,,,,
18,0.618,4.066,4.615,4.704,pose,0.0,0.033,0.337,0.0,1.798,7.0001,0.584,1.1418,0.6695,0.8794
19,0.652,4.675,4.675,4.675,bbox,0.0,0.033,0.337,0.0,1.7782,6.9187,,,,
20,0.686,4.611,4.675,4.611,bbox,0.0,0.08,0.434,0.0,1.77,6.8646,,,,
21,0.721,4.064,4.611,4.58,pose,0.0,0.08,0.516,0.0,1.7839,6.8365,0.6737,1.0457,0.6601,0.9465
22,0.755,4.616,4.611,4.616,bbox,0.0,0.08,0.57,0.0,1.7604,6.8121,,,,
23,0.789,4.586,4.611,4.586,bbox,0.0,0.08,0.57,0.0,1.7553,6.8182,,,,
24,0.824,4.071,4.586,4.596,pose,0.0,0.117,0.616,0.0,1.7537,6.8062,0.6826,0.9795,0.6356,0.9754
25,0.858,4.55,4.55,4.55,bbox,0.0,0.117,0.616,0.0,1.7506,6.7919,,,,
26,0.892,4.534,4.55,4.534,bbox,0.0,0.117,0.616,0.0,1.7402,6.8016,,,,
27,0.927,4.031,4.534,4.571,pose,0.0,0.117,0.616,0.0,1.7224,6.8065,0.6785,0.9505,0.6487,0.9805
28,0.961,4.558,4.534,4.558,bbox,0.0,0.117,0.616,0.0,1.7212,6.8202,,,,
29,0.995,4.591,4.55,4.591,bbox,0.0,0.155,0.616,0.0,1.7158,6.8382,,,,
30,1.03,3.999,4.534,4.58,pose,0.0,0.155,0.616,0.0,1.7042,6.8466,0.6907,0.9581,0.6863,0.9862
31,1.064,4.55,4.55,4.55,bbox,0.0,0.155,0.616,0.0,1.7074,6.8568,,,,
32,1.098,4.529,4.55,4.529,bbox,0.0,0.155,0.616,0.0,1.7145,6.8655,,,,
